## 0101	シド
チョンブリー県	20.475548
タイの食文化	20.475548
特筆性の基準を満たしていないおそれのある記事/2014年5月	20.22984
京野菜	20.22984
名数1	20.196804
奈良県の食文化	19.91246
あだち充	19.819462
週刊少年サンデーの漫画作品	19.819462
漫画作品	19.819462
日本の言葉遊び	19.66137
風俗	19.66137
文化	19.66137
音楽関係者	19.179714
日本の作詞家	19.179714
NHK紅白歌合戦歌唱楽曲・作詞者・作曲者	19.179714
1967年生	19.179714
弘前市	19.031414
青森県の食文化	19.031414
服飾史	18.826385
西欧	18.826385
衣類	18.826385
フランス語の語句	18.826385
ヨーロッパの文化史	18.826385
中世ヨーロッパの文化	18.826385
名数7	18.6871
郷土料理	18.644653
寿司	18.644653
伊豆諸島の文化	18.644653
岡谷市の企業	18.420147
同名の地名	18.023792
長野県の祭り	17.812727
松本市	17.812727
山車祭り	17.812727
小田原市の学校	17.703281
神奈川県の学校	17.703281
神奈川県の定時制高等学校	17.703281
神奈川県の公立高等学校	17.703281
綾部市	17.52627
京都府の農業協同組合	17.52627
京都府	17.52627
1980年生	17.312273
覆面レスラー	17.29141
闘龍門	17.29141
日本のプロレスラー	17.29141
ジュニアヘビー級のプロレスラー	17.29141
みちのくプロレス	17.29141
フロンティアワークスのアニメ作品	17.042938
声優を題材とした作品	17.042938
芸能界を舞台とした漫画作品	17.042938
2006年のテレビアニメ	17.042938
ポニーキャニオンのアニメ作品	17.042938
2006年のコンピュータゲーム	17.042938
漫画作品	17.042938
月刊サンデーGENE-X	17.042938
継続中にタイトルが変更された作品	17.042938
花見沢Q太郎	17.042938
声優を題材とした漫画作品	17.042938
アニメ作品 れ	17.042938
芸能界を舞台としたアニメ作品	17.042938
シャフト	17.042938
TBSの深夜アニメ	17.042938
動物	17.020678
Least concern	17.020678
新潟県の食文化	16.999067
味噌	16.999067
スタンダール	16.962675
フランスの小説	16.962675
フランスの歴史を題材とした作品	16.962675
フランス復古王政	16.962675
1830年代の小説	16.962675
RPGツクールXP製のゲーム	16.854862
ファンタジーコンピュータゲーム	16.854862
フリーゲーム	16.854862
1964年のアニメ映画	16.775494
アニメ	16.775494
トムとジェリーの短編作品	16.775494
舞台芸術	16.71343
1964年生	16.702099
兵庫県出身の人物	16.702099
悪役俳優	16.702099
出典を必要とする存命人物記事/2009年7月-12月	16.702099
千葉県の祭り	16.678726
墨田区の企業	16.678726
浅草	16.678726
千葉県の音楽	16.678726
東金市	16.678726
1864年生	16.678726
1944年没	16.678726
雷部屋	16.678726
福岡県出身の大相撲力士	16.678726
大坂相撲	16.678726
千葉県の学校	16.62683
千葉県の私立高等学校	16.62683
学校法人日本大学	16.62683
船橋市の高等学校	16.62683
広島県の学校	16.621822
福山市の高等学校	16.621822
私立中高一貫校	16.621822
広島県の私立中学校	16.621822
福山市の画像提供依頼	16.621822
広島県の私立高等学校	16.621822
福山市の中学校	16.621822
古典園芸植物	16.616854
漫画作品	16.59977
月刊アフタヌーン	16.59977
四国地方の日本酒メーカー	16.579308
鳴門市の企業	16.579308
徳島県の登録有形文化財	16.579308
日本女子大学出身の人物	16.570515
神奈川県出身の人物	16.570515
1982年生	16.570515
航空	16.464901
安全	16.464901
航空	16.464901
ヨッシーシリーズ	16.460089
架空の昆虫	16.460089
マリオシリーズのキャラクター	16.460089
テレビの映画番組	16.376345
1971年のテレビ番組 (日本)	16.376345
フジテレビ系番組	16.376345
会津地方	16.304903
言語学	16.304903
福島県の文化	16.304903
東北方言	16.304903
テレビ朝日のミニ番組	16.260498
2009年のテレビ番組 (日本)	16.260498
テレビ朝日の教養番組	16.260498
テレビ朝日の紀行・旅番組	16.260498
朝日新聞社の歴史	16.260498
特筆性の基準を満たしていないおそれのある記事/2014年9月	16.260498
百選	16.260498
学校の怪談	16.248829
日本の都市伝説	16.248829
広島県出身の人物	16.21281
1945年生	16.21281
日本のジャズ・サクソフォーン奏者	16.21281
日本のジャズ・ミュージシャン	16.21281
東京薬科大学の教員	16.21281
京都市北区の地理	16.176825
山城国	16.176825
良質な記事	16.176825
1987年の日本の事件	16.171227
カルト事件	16.171227
藤沢市の歴史	16.171227
福島大学	16.158102
日本の国立小学校	16.158102
福島市の学校	16.158102
福島県の国立学校	16.158102
福島県の画像提供依頼	16.158102
福島県の小学校	16.158102
福島県の学校	16.158102
シーランド公国	16.148499
国旗	16.148499
子供への性的虐待を扱った作品	16.113613
アニメ作品 す	16.113613
インターチャネルのゲームソフト	16.113613
ゼクシズ	16.113613
ソフパル	16.113613
テレビアニメ化されたアダルトゲーム	16.113613
バンダイビジュアルのアニメ作品	16.113613
ボーイズラブアニメ	16.113613
ボーイズラブゲーム	16.113613
ランティスのアニメ作品	16.113613
多重人格を題材としたコンピュータゲーム	16.113613
角川ルビー文庫	16.113613
漫画作品	16.113613
2005年のテレビアニメ	16.113613
スーパーサイエンスハイスクール	16.098791
倉敷市の公立中学校	16.098791
倉敷市の高等学校	16.098791
日本の理数に関する学科設置高等学校	16.098791
岡山県の公立高等学校	16.098791
岡山県の学校	16.098791
国公立中高一貫校	16.098791
ドラえもんのひみつ道具	16.02244
バンコク出身の人物	16.019968
広島県の公立高等学校	16.019968
1976年生	16.019968
タイの漫画家	16.019968
三次市	16.019968
兵庫県	16.01689
兵庫県の公園	16.01689
たつの市	16.01689
和楽器	16.011696
アサ	16.011696
打楽器	16.011696
ぶ〜け	15.99561
恋愛漫画	15.99561
漫画作品	15.99561
1994年のテレビ番組 (日本)	15.937748
NHKのテレビ音楽番組	15.937748
NHKの特別番組	15.937748
分類学	15.926277
生物学	15.926277
進化	15.926277
兵庫県の公立小学校	15.908257
1978年のテレビドラマ	15.908257
東海テレビのテレビドラマ	15.908257
大崎市の教育	15.871109
宮城県の公立高等学校	15.871109
宮城県の定時制高等学校	15.871109
兵庫県の公立高等学校	15.804866
犯罪を題材としたアニメ作品	15.792718
KADOKAWAのアニメ作品	15.792718
あらすじの不十分な作品記事	15.792718
アニメ作品 て	15.792718
アミューズメントメディア総合学院	15.792718
クロックワークスのアニメ作品	15.792718
サイコスリラー	15.792718
マングローブ (アニメ制作会社)	15.792718
刑務所を舞台としたアニメ作品	15.792718
刑務所を舞台とした漫画作品	15.792718
多重人格を題材とした漫画作品	15.792718
月刊少年エースの漫画作品	15.792718
架空の刑務所	15.792718
漫画作品	15.792718
災害を題材とした作品	15.792718
2011年のテレビアニメ	15.792718
犯罪を題材とした漫画作品	15.792718
猟奇作品	15.792718
猟奇漫画	15.792718
角川書店の漫画を原作とするアニメ作品	15.792718
超能力を題材としたアニメ作品	15.792718
超能力を題材とした漫画作品	15.792718
埼玉県の公立高等学校	15.718981
埼玉県の学校	15.718981
日本の外国語に関する学科設置高等学校	15.718981
越谷市の学校	15.718981
レンズ	15.718981
望遠鏡	15.718981
顕微鏡	15.718981
あらすじの作成が望まれている作品記事	15.712397
コロコロコミックの漫画作品	15.712397
釣り漫画	15.712397
漫画作品	15.712397
ドリーミュージックのアーティスト	15.707165
日本の歌手	15.707165
コミックバーズ	15.675395
トゥールーズ	15.652886
フランスのサッカークラブ	15.652886
マクドナルド	15.627501
1972年のシングル	15.568832
フジテレビのテレビドラマ主題歌	15.568832
上條恒彦の楽曲	15.568832
みうらじゅん	15.500685
日本の灯台50選	15.476742
北海道の灯台	15.476742
1951年竣工の建築物	15.476742
根室市の交通	15.476742
根室市の地理	15.476742
地域通貨	15.473752
4コマ漫画	15.432792
LaLa	15.432792
オムニバス漫画	15.432792
漫画作品	15.432792
白泉社の漫画雑誌	15.432792
タイムトラベルを題材とした漫画作品	15.41015
人物の入れ代わりを題材とした漫画作品	15.41015
小学館の学年誌の漫画作品	15.41015
藤子・F・不二雄	15.41015
落語の演目	15.339788
動物園を舞台とした作品	15.339788
2009年の野球	15.300759
2009年の日本のスポーツ	15.300759
全国高等学校野球選手権大会の試合	15.300759
九条の会の人物	15.276702
1942年生	15.276702
出典を必要とする存命人物記事/2010年1月-4月	15.276702
広島原爆の被爆者	15.276702
広島市出身の人物	15.276702
日本共産党の人物	15.276702
日本の児童文学作家	15.276702
フランスワイン	15.259515
フランス南西部のワイン	15.259515
地域ブランド	15.25653
長野県の食文化	15.25653
杉並を舞台とした作品	15.197933
Macintosh用ゲームソフト	15.197933
ギャグ漫画	15.197933
ラジオドラマ	15.197933
3DO用ソフト	15.197933
漫画作品	15.197933
週刊少年チャンピオンの漫画作品	15.197933
集合住宅を舞台とした漫画作品	15.197933
1943年の楽曲	15.191212
中国のプロパガンダ	15.191212
中国の歌	15.191212
中国共産党	15.191212
中国	15.191212
共産主義	15.191212
労働歌	15.191212
楽曲	15.191212
アルバム	15.134777
カバー・コンピレーション・アルバム	15.134777
ハロー!プロジェクト関連アルバム	15.134777
1973年生	15.134777
長野県出身の人物	15.134777
フジテレビ水曜8時枠の連続ドラマ	15.101002
テレビ番組	15.101002
フジテレビの時代劇	15.101002
1999年のテレビドラマ	15.101002
松竹製作のテレビ番組	15.101002
1952年の日本の事件	15.101002
上田市の歴史	15.101002
在日韓国・朝鮮人の事件	15.101002
2008年のコンピュータゲーム	15.101002
サクセス	15.101002
ニンテンドーDS用ソフト	15.101002
美少女ゲーム	15.101002
## 0115	銀シャリ
吉本興業の番組	801.704985
テレビ番組	600.628914
吉本興業	362.89490100000006
存命人物	232.14068400000005
お笑い芸人	200.34317700000005
2012年のテレビ番組 (日本)	178.691678
ラジオ番組	178.00825
関西テレビの深夜番組	175.853984
読売テレビのバラエティ番組	166.080432
関西テレビのバラエティ番組	153.12164600000003
日本のお笑いコンビ	145.051091
お笑いのコンテスト	138.287569
2011年のテレビ番組 (日本)	128.189663
読売テレビのトーク番組	122.253811
継続中の作品	114.389771
読売テレビの深夜番組	103.64599400000002
漫才	101.52135299999999
ヨルパチーノ	100.26796
大阪府出身の人物	98.449985
関西テレビの冠番組	93.76086
朝日放送の特別番組	88.832623
朝日放送のバラエティ番組	87.125399
お笑い芸人	80.612806
読売テレビの冠番組	80.48876200000001
ラジオのバラエティ番組	66.91192
テレビ朝日のバラエティ番組	65.662848
くりぃむしちゅー	65.662848
テレビ朝日の深夜番組	65.662848
テレビ朝日の冠番組	65.662848
2013年のテレビ番組 (日本)	64.559489
大阪市北区の企業	64.075416
テレビ制作会社	61.666458999999996
1987年生	61.483149999999995
日本のタレント	61.483149999999995
テレビ技術会社	61.446436999999996
日本のお笑いグループ	61.018497999999994
企業	60.540107
2010年のテレビ番組 (日本)	60.46412199999999
特筆性の基準を満たしていないおそれのある記事/2014年4月	59.752233000000004
フジテレビのバラエティ番組	59.335959
大阪市中央区の企業	59.037479999999995
演芸の賞	56.547396000000006
GAORA	49.801693
CSのバラエティ番組	49.801693
CSの冠番組	49.801693
KBS京都のラジオ番組	47.444734
毎日放送のラジオ番組	47.31293
テレビ番組	47.006544000000005
ラジオ大阪の帯番組	46.456272
京楽産業.	46.246483
NHKのバラエティ番組	46.205873
生年非公表	46.016537
日本テレビのバラエティ番組	45.581103999999996
日本テレビの深夜番組	45.581103999999996
朝日放送の深夜番組	45.316611
演芸	45.231432
毎日放送の深夜番組	44.513108
毎日放送のバラエティ番組	44.513108
NHK大阪	44.079976
2007年のテレビ番組 (日本)	43.775264
1975年生	43.15057
NMB48	42.527333999999996
サンテレビジョンのテレビ番組	42.516585
京都府出身の人物	41.862066
関西テレビの情報・ワイドショー番組	41.86070599999999
日本のナレーター	41.170584000000005
テレビ大阪のバラエティ番組	41.15873
アイドル	41.102512
吉本新喜劇	41.008123
岡山県出身の人物	40.607111
フジテレビの深夜番組	40.571745
2014年のテレビ番組 (日本)	39.005218
朝日放送のラジオ番組	38.687576
ABCラジオの冠番組	38.687576
読売テレビの情報・ワイドショー番組	37.165104
テレビ放送枠	26.550896
KBS京都ラジオの冠番組	25.181131
日本テレビの音楽番組	24.715841
藤井隆	24.715841
インターネットテレビ番組	24.33939
日本のラジオ音楽番組の歴史	24.33939
雑多な内容を箇条書きした節のある記事 - 2012年1月-4月	24.33939
KBS京都のアナウンサー	23.486086
内容が過剰となっている記事	23.486086
アナウンサー	23.486086
雑多な内容を箇条書きした節のある記事 - 2014年6月	23.486086
1982年生	23.486086
整理が必要な項目	23.486086
競馬アナウンサー	23.486086
NHKのBS番組	23.319616
奈良県出身の人物	23.290005
日本の男性声優	23.290005
京都市出身の人物	23.127544
奈良教育大学出身の人物	23.127544
NHKの深夜番組	22.886257
NHK番組たまご	22.886257
松竹芸能	22.886257
今田耕司	22.86801
関西テレビの帯番組	22.732338
レースクイーン	22.726532
特筆性の基準を満たしていないおそれのある記事/2010年4月	22.726532
漫画家	22.726532
日本の漫画家	22.726532
1963年生	22.726532
北海道出身の人物	22.726532
松竹製作のテレビ番組	22.345175
ローカル局テレビの年末年始特番	22.345175
テレビ朝日の年末年始特番	22.307888
2006年のテレビ番組 (日本)	22.307888
NHKのラジオ冠番組	22.071686
NHK-FMの地域番組	22.071686
言葉を濁した記述のある記事 (いつ)/2012年9月-12月	22.015041
朝日放送	22.015041
福岡放送のテレビ番組	21.907093
中京テレビの深夜番組	21.907093
中京テレビのバラエティ番組	21.907093
ローカル局の深夜テレビ番組	21.907093
ローカル局のバラエティ番組	21.907093
テレビ新潟	21.907093
テレビ大阪の深夜番組	21.907093
堺区の鉄道駅	21.627512
1912年開業の鉄道駅	21.627512
日本の鉄道駅 て	21.627512
阪堺電気軌道の鉄道駅	21.627512
サービス業	21.627512
工学	21.627512
ロボット工学	21.627512
新しい波	21.554369
朝日放送の冠番組	21.35314
2008年のテレビ番組 (日本)	21.126505
テレビ東京のバラエティ番組	20.77329
日本の放送作家	20.77329
鳥取県出身の人物	20.77329
テレビ東京の年末年始特番	20.77329
人物	20.77329
NHK杯	20.76036
独自研究の除去が必要な記述のある記事/2014年1月-6月	20.455648
特筆性の基準を満たしていないおそれのある記事/2014年6月	20.455648
KBS京都のテレビ番組	20.455648
近畿地方のバラエティ番組	20.455648
アイドル番組	20.455648
特筆性の基準を満たしていないおそれのある記事/2014年12月	20.455648
グルメ番組	20.455648
久本雅美	20.455648
読売テレビの紀行・旅番組	20.455648
特筆性の基準を満たしていないおそれのある記事/2009年9月-10月	20.441294
TBSの特別番組	20.200558
リクルート	20.200558
大塚グループ	20.200558
色	20.065006
色名	20.065006
銀	20.065006
在日アメリカ人	20.023026
オレゴン州の人物	20.023026
日本の外国人タレント	20.023026
1972年設立の企業	19.949268
日本の音楽関連出版社	19.949268
関西テレビ	19.949268
2001年設立の企業	19.874166
2011年開業の施設	19.783522
中央区 (大阪市)	19.783522
吉本興業の劇場	19.783522
大阪市の観光地	19.783522
大阪府の劇場	19.783522
寄席・演芸場	19.783522
ラジオ制作会社	19.581657
毎日放送	19.581657
1980年生	19.581657
出典を必要とする存命人物記事/2009年7月-12月	19.581657
テレビ大阪の冠番組	19.251637
ローカル局の紀行・旅番組	19.251637
読売テレビ	19.11078
読売テレビの特別番組	19.11078
言葉を濁した記述のある記事 (いつ)/2014年3月-4月	19.105913
2009年のテレビ番組 (日本)	19.105913
TBSのトーク番組	19.017376
TBSのバラエティ番組	19.017376
TBSの深夜番組	19.017376
みずほフィナンシャルグループ	18.967836
コンサルティングファーム	18.967836
千代田区の企業	18.967836
日本のシステムインテグレータ	18.967836
日本のシンクタンク	18.967836
イベント	18.87423
芸能雑誌	18.804644
日本の雑誌	18.804644
書籍	18.804644
2009年創刊の雑誌	18.804644
横山やすし・西川きよし	18.804644
フジテレビの特別番組	18.764214
日清食品	18.764214
吉本興業ユニット	18.721565
説明が求められている文章がある記事	18.603416
言葉を濁した記述のある記事 (誰)/2014年1月-6月	18.603416
2013年のシングル	18.603416
NMB48の楽曲	18.603416
よしもとアール・アンド・シーの楽曲	18.603416
オリコンシングルチャート1位獲得作品	18.603416
オリコン月間シングルチャート1位獲得作品	18.603416
ヘ長調の曲	18.603416
秋元康が制作した楽曲	18.603416
高田暁が制作した楽曲	18.603416
特別番組 (ラジオ)	18.562386
ラジオ大阪のラジオ番組	18.562386
関西テレビの特別番組	18.562386
近畿地方のテレビ冠番組	18.435526
PlayStation用ソフト	18.37598
PlayStation 3用ソフト	18.37598
PlayStation Portable用ソフト	18.37598
PlayStation 2用ソフト	18.37598
ゲームアーカイブス対応ソフト	18.37598
コンピュータゲームのシリーズ	18.37598
コンピュータゲーム	18.37598
実機シミュレーションゲーム	18.37598
山佐	18.37598
グラビアアイドル	18.37598
恵比寿マスカッツ	18.37598
毎日放送の特別番組	17.962212
1981年生	17.880579
愛媛県出身の人物	17.880579
1959年生	17.880579
ラジオ番組のパーソナリティ・DJ	17.880579
2007年のテレビアニメ	17.880579
FLASHアニメーション	17.880579
アニメ	17.880579
アニメ作品 ほ	17.880579
ファイテンション☆デパート	17.880579
擬人化キャラクターを主人公にした物語	17.880579
架空の擬人化キャラクター	17.880579
食品の擬人化	17.880579
## 0116	嵐
嵐 (ジャニーズ)	308.1462005
テレビ番組	160.691888
風	134.82265
気象学・気候学	134.82265
存命人物	98.342194
フジテレビのバラエティ番組	74.2786965
ジャニーズJr.	73.483259
日本の作詞家	60.657191999999995
オリコンシングルチャート1位獲得作品	60.463925
嵐の楽曲	60.463925
嵐の映像作品	59.980606
フジテレビの冠番組	49.3945205
漫画	47.566291
品川区を舞台とした作品	38.335477
映画	38.335477
日本の青春映画	38.335477
日本の駆逐艦	37.834648
日本の作曲家	36.8317585
1999年のテレビドラマ	36.4293575
日本の編曲家	36.3969765
アルバム	36.279198
日本テレビの冠番組	36.127455
日本テレビの深夜番組	36.127455
日本テレビのバラエティ番組	36.127455
ジェイ・ストームのアルバム	36.108398
TBSのバラエティ番組	36.035601
ジャニーズ	36.035541
テレビ番組	35.963425
嵐のアルバム	35.913429
堤幸彦の監督映画	25.459657
1941年竣工船	25.394557
テレビ朝日のバラエティ番組	25.330641
変身忍者 嵐	24.803300999999998
音楽家	24.729435
バレーボールワールドカップ	24.686162
ラジオ番組	24.649921
2005年のテレビ番組 (日本)	24.6217575
2002年のテレビ番組 (日本)	24.585797
2000年のテレビ番組 (日本)	24.459885999999997
イ長調の曲	24.417016500000003
継続中の作品	24.296118999999997
日本テレビのテレビドラマ	24.1852835
オムニバスドラマ	24.1852835
ポニーキャニオンの楽曲	24.1820575
2001年のシングル	24.1820575
オリコンアルバムチャート1位獲得作品	24.048578
NHK紅白歌合戦歌唱楽曲・作詞者・作曲者	23.9928615
アイドル	23.866451
2001年のテレビ番組 (日本)	23.780472
ライブ・ビデオ	23.701408
音楽	23.6598385
書籍	23.591382
人物	23.552511000000003
東京都出身の人物	23.552511000000003
ゲーム音楽の作曲家	12.98049
BEMANIシリーズの人物	12.98049
映画のスピンオフ作品	12.87582
2014年の映画	12.87582
歌舞伎役者の名跡	12.846033
歌舞伎役者	12.846033
人名の曖昧さ回避	12.846033
歌舞伎座元の名跡	12.846033
1999年のテレビ番組 (日本)	12.796692
2002年の映画	12.745655
レコメン!	12.723984
文化放送の冠番組	12.723984
2004年の映画	12.714002
アニメソング	12.690909
1972年のシングル	12.690909
石ノ森章太郎の楽曲	12.690909
シングル	12.690909
菊池俊輔が制作した楽曲	12.690909
水木一郎の楽曲	12.690909
日本コロムビアの楽曲	12.690909
日本テレビの特別番組	12.660074
2009年のテレビ番組 (日本)	12.660074
テレビの超長時間番組	12.660074
文人	12.641665
1969年生	12.641665
富山県出身の人物	12.641665
日本のコラムニスト	12.641665
日本の詩人	12.641665
2010年のテレビドラマ	12.640015
フジテレビのテレビドラマ	12.640015
土曜プレミアム	12.640015
フジテレビの紀行・旅番組	12.6161375
スウェーデンの作曲家	12.573068
スウェーデンの音楽プロデューサー	12.573068
1977年生	12.573068
編曲家	12.573068
スウェーデンの作詞家	12.573068
静岡市出身の人物	12.545708
2011年没	12.545708
武蔵野音楽大学出身の人物	12.545708
1965年生	12.545708
日本のトロンボーン奏者	12.545708
藤井隆	12.533949
テレビ朝日の音楽番組	12.533949
2004年のテレビ番組 (日本)	12.533949
2004年の音楽関連の映像作品	12.491728
芸能人	12.491728
調査	12.491728
テレビ放送枠	12.442088
フジテレビのスポーツ番組	12.442088
1940年竣工船	12.440091
ロッテ一社提供番組	12.36023
1996年のテレビ番組 (日本)	12.36023
テレビ東京のバラエティ番組	12.36023
テレビ東京の冠番組	12.36023
文化放送の帯番組	12.300436
日本テレビ水曜ドラマの主題歌	12.2949915
菓子のコマーシャルソング	12.2949915
変ホ長調の曲	12.2949915
馬飼野康二が制作した楽曲	12.2949915
2007年のシングル	12.2949915
バレーボールを題材とした作品	12.244074
フジテレビのスペシャルドラマ	12.244074
フジテレビのミニ番組	12.244074
1966年生	12.213531
広島県出身の人物	12.213531
日本のミュージシャン	12.213531
日本の歌手	12.213531
ザ・ワークス	12.183727
2004年のアルバム	12.183727
2014年のテレビ番組 (日本)	12.183727
愛媛県出身の人物	12.183727
TBSの冠番組	12.183727
コンサート・ツアー	12.135367
こちら葛飾区亀有公園前派出所の音楽	12.122025
2002年のシングル	12.122025
フジテレビのテレビアニメ主題歌	12.122025
2000年の音楽関連の映像作品	12.122025
MONDO21	12.121669
1883年没	12.121669
エロー県出身の人物	12.121669
フランスの画家	12.121669
レジオンドヌール勲章受章者	12.121669
1837年生	12.121669
パチンコ・パチスロ番組	12.121669
リメイク漫画	12.112392
ウェブコミック	12.112392
忍者を題材にした漫画	12.112392
漫画作品	12.112392
石ノ森章太郎	12.112392
2001年設立の企業	12.05982
ジャニーズ事務所	12.05982
企業	12.05982
日本のレコード会社	12.05982
東京都港区の企業	12.05982
ポニーキャニオンのアーティスト	12.04947
オリコン年間アルバムチャート1位獲得アーティスト	12.04947
オリコン年間シングルチャート1位獲得アーティスト	12.04947
NHK紅白歌合戦出演者	12.04947
出典のページ番号が要望されている記事	12.04947
日本のアイドルグループ	12.04947
日本のギネス世界記録保持者	12.04947
日本の歌手グループ	12.04947
出典を必要とする存命人物記事/2012年2月	12.042134
秋田県出身の人物	12.042134
フジテレビの人物	12.042134
日本のテレビプロデューサー	12.042134
1970年生	12.042134
オカルトを題材とした作品	11.9932165
ホラードラマ	11.9932165
過去のジャニーズ所属者	11.979385
1974年のテレビドラマ	11.929768
2007年の映画	11.929768
NHK名古屋のテレビドラマ	11.929768
市川森一	11.929768
戦後日本を舞台とした作品	11.929768
杉並を舞台とした作品	11.929768
漫画を原作とするテレビドラマ	11.929768
漫画を原作とする映画作品	11.929768
犬童一心の監督映画	11.929768
銀河テレビ小説	11.929768
写真集	11.925937
タッキー&翼	11.925937
三宅裕司	11.925937
TBSの特別番組	11.925937
英語	11.925937
Bayfmの番組	11.925937
特筆性の基準を満たしていないおそれのある記事/2011年8月	11.925937
1998年創刊の雑誌	11.925937
パチスロ	11.925937
パチンコ・パチスロ	11.925937
刊行中の漫画雑誌	11.925937
日本の漫画雑誌	11.925937
月刊漫画雑誌	11.925937
辰巳出版	11.925937
ト短調の曲	11.887066
日本テレビ土曜ドラマの主題歌	11.887066
金田一少年の事件簿の音楽	11.887066
1960年生	11.887066
出典を必要とする存命人物記事/2014年10月	11.887066
千葉大学出身の人物	11.887066
教育	11.887066
日本の教育者	11.887066
東洋大学出身の人物	11.887066
明治大学の教員	11.887066
2002年のアルバム	11.864851
ポニーキャニオンのアルバム	11.864851
2006年のアルバム	11.864851
2008年のシングル	11.864851
Japan Hot 100チャート1位獲得作品	11.864851
オリコン月間シングルチャート1位獲得作品	11.864851
フジテレビの深夜番組	11.850704
少年隊	11.850704
2001年のコンピュータゲーム	11.850704
ゲームボーイアドバンス用ソフト	11.850704
コロコロコミックの漫画作品	11.850704
サッカーゲーム	11.850704
サッカー漫画	11.850704
漫画作品	11.850704
日本航空	11.850704
航空	11.850704
2007年の音楽関連の映像作品	11.850704
長大な音楽作品名	11.850704
2013年の音楽関連の映像作品	11.850704
コンサート	11.850704
特筆性の基準を満たしていないおそれのある記事/2011年10月	11.8091345
音楽関係者	11.8091345
闘病を題材とした作品	11.677258
漫画作品	11.677258
花とゆめ	11.677258
2013年のテレビドラマ	11.677258
24時間テレビのドラマ	11.677258
橋部敦子の脚本作品	11.677258
別冊花とゆめ	11.677258
埼玉県出身の人物	11.665445
日本の写真家	11.665445
美術家	11.665445
1975年生	11.665445
日本の振付家	11.665445
アイドル雑誌	11.665445
日本の雑誌	11.665445
2002年の音楽関連の映像作品	11.665445
## 0117	フランクフルト
存命人物	568.064819
アイントラハト・フランクフルトの選手	345.34742900000003
フランクフルト・アム・マイン出身の人物	321.71878100000004
フランクフルト・アム・マインの建築物	275.494523
フランクフルト・アム・マイン	251.16399199999998
ドイツ	249.401053
フランクフルト・アム・マインの文化	226.409494
フランクフルト・アム・マインの歴史	225.85282899999999
サッカー選手	222.26768099999998
クラシック音楽	175.46395399999997
フランクフルト音楽・舞台芸術大学の教員	148.88225
音楽家	148.88225
ドイツのサッカー選手	148.736421
ヨハン・ヴォルフガング・ゲーテ大学フランクフルト・アム・マインの教員	148.673396
ユダヤ系ドイツ人	123.90548799999999
フランクフルト学派	100.39430300000001
ドイツの作曲家	99.529842
ドイツの指揮者	99.37304400000001
フランクフルト・アム・マインの企業	99.341297
フランクフルト・アム・マインの鉄道駅	76.41296299999999
鉄道駅	75.831302
ドイツの女子サッカー	75.50288599999999
フランクフルト・アム・マインの交通	75.378919
ドイツの哲学者	75.209633
フランクフルト・アム・マインのスポーツ	75.015615
フランクフルト証券取引所上場企業	74.87091699999999
サッカー	74.797245
ドイツの歴史 (1806年-1870年)	74.606873
サッカードイツ代表選手	74.590361
1990年生	74.532095
ヨーロッパの証券取引所	74.13578899999999
ロスチャイルド家	73.947509
ドイツ連邦	52.338493
ヘッセン州の行政区画	52.159695
ドイツの主要都市	51.853978999999995
フランクフルト・アム・マインの組織	50.695429
ドイツの鉄道駅	50.632931
空港	50.612308
ドイツの空港	50.612308
ドイツの歌劇場	50.610127
軍艦	50.586178000000004
近現代の作曲家	50.426613
フランクフルト音楽・舞台芸術大学出身の人物	50.426613
ドイツの社会学者	50.256828
ドイツのサッカー競技施設	50.197513
ドイツの見本市	50.144973
ドイツの銀行	50.129802999999995
ヘッセン州出身の人物	49.939105
建築	49.91166
NFLヨーロッパ	49.862545
国際列車	49.827807
ドイツの鉄道	49.827807
ヨーロッパの列車	49.827807
ヘッセンの大学	49.818375
ホロコースト	49.770275999999996
シャルケの選手	49.544653
ドイツの美術館	49.496832
1.FCカイザースラウテルンの選手	49.48055
フェリックス・メンデルスゾーン・バルトルディ音楽演劇大学ライプツィヒ出身の人物	49.472486
ギリシャのサッカー選手	49.34786
サッカーギリシャ代表選手	49.34786
金融	49.290034
ドイツ統一運動	49.232909
1935年生	49.167252
FCザンクトパウリの選手	49.1441
ドイツの物理学者	49.056714
ドイツの銀行家	49.03974100000001
ドイツの実業家	49.03974100000001
ドイツのノーベル賞受賞者	48.915717
同名の地名	25.91546
銀行の一覧	25.675995
ドイツ関連一覧	25.675995
ドイツの巡洋艦	25.594896
第一次世界大戦の艦船	25.594896
1915年竣工船	25.594896
ドイツの新聞	25.590963
ドイツの陸上競技場	25.451763
現存しない陸上競技場	25.451763
女子サッカーリーグ	25.451391
ドイツのスポーツリーグ	25.451391
ドイツの放送局のオーケストラ	25.414692
女子サッカー大会	25.412533
国内のサッカーカップ戦	25.412533
吹奏楽の作曲家	25.369265
1961年生	25.369265
ドイツの観光	25.355673
書物	25.355673
神聖ローマ帝国	25.316313
ゲットー	25.316313
ユダヤ博物館	25.316313
歌劇場のオーケストラ	25.280737
ドイツのオーケストラ	25.280737
1945年のドイツ	25.277311
第二次世界大戦の作戦と戦い	25.277311
1945年の戦闘	25.277311
ケーキ	25.276896
ドイツの菓子	25.276896
1973年没	25.269888
コロンビア大学の教員	25.269888
ドイツユダヤ系アメリカ人	25.269888
20世紀の哲学者	25.269888
1895年生	25.269888
19世紀の哲学者	25.269888
