## IMINE2-J-001	cvs
オープンソース	241.53808900000004,
福岡県出身の人物	49.698368,0.7152708502383517
スポーツ関係者	24.543875,0.6944444444444444
茨城県出身の人物	49.944927,0.7172891737853572
京都府出身の人物	49.485465000000005,0.7172891737853572
山口県出身の人物	49.119963,0.7172891737853572
広島県出身の人物	49.112965,0.7172891737853572
静岡県出身の人物	49.081904,0.7172891737853572
兵庫県出身の人物	48.961503,0.7172891737853572
東京電力女子サッカー部マリーゼの選手	294.16788699999995,0.9352033775874959
性風俗関係者	24.843145,0.7077777777777778
佐賀県出身の人物	25.522678,0.7152708502383517
沖縄県出身の人物	24.301613,0.7152708502383517
岡山県出身の人物	24.98753,0.7172891737853572
島根県出身の人物	24.96272,0.7172891737853572
宮城県出身の人物	24.843145,0.7172891737853572
青森県出身の人物	24.511648,0.7172891737853572
声優ユニットのシングル	24.344414,0.7172348089161451
栃木県出身の人物	24.337395,0.7172891737853572
山形県出身の人物	24.301613,0.7172891737853572
川崎市出身の人物	24.635672,0.7182920977175735
石川県出身の人物	24.608315,0.7187692777198279
福井県出身の人物	24.301613,0.7187692777198279
横浜市出身の人物	24.969816,0.7284124665002794
2013年の日本のサッカー	75.848641,0.7729520930842393
さいたま市出身の人物	24.353188,0.7284124665002794
2010年の日本のサッカー	75.389452,0.7729520930842393
日本女子サッカーリーグ	227.56815099999997,0.9057650826141213
2008年のアルバム	25.030836,0.7323847274548997
セント・フォース	25.261902,0.7330079103026129
INAC神戸レオネッサの選手	271.870403,0.951954680415047
東京女子体育大学出身の人物	49.845055,0.7599935848432021
サッカー漫画	24.49232,0.7442908887606848
日本の恋愛小説	24.96272,0.7451505737938158
オリンピックサッカー日本代表選手	173.486991,0.8778816333614349
2012年の日本のサッカー	50.740588,0.7729520930842393
2012年のOVA	24.96272,0.7538289767571873
日本のサッカー選手	49.50264,0.7783241581761897
テレビのアイドル番組	24.690117,0.7689559622556584
2014年の日本のサッカー	25.165424,0.7729520930842393
2011年の日本のサッカー	25.165424,0.7729520930842393
NHKのドキュメンタリー番組	24.604809,0.7877503381446265
ユニバーシアードサッカー日本代表選手	99.600525,0.8645390560997273
島みやえい子のアルバム	25.030836,0.8006419030451007
日本の女子サッカー	49.50264,0.8231711121230818
テレビ東京の帯番組	25.131802,0.8030494274807454
2001年のシングル	24.344414,0.8080620766393428
テレビ東京の深夜番組	25.131802,0.8095252826762187
日本テレビの深夜番組	24.690117,0.8095252826762187
いぬかみっ!の登場人物	24.4095,0.8149371386285449
東京都北区の学校	25.068611,0.8162868077063448
大阪体育大学出身の人物	25.314722,0.8211009521670429
国際女子サッカークラブ選手権	24.705078,0.8215759540920858
日本の女子サッカー大会	50.909852,0.8448332364775307
ハロー!プロジェクト	25.131802,0.8244190552706689
ルルル文庫	24.96272,0.8282295377108847
熟女系AV女優	24.50465,0.8305042073232809
ベガルタ仙台レディースの選手	171.43301400000001,0.966226463380535
NMB48	24.690117,0.842223310919728
AC長野パルセイロ・レディースの選手	147.666441,0.951954680415047
なかよし本誌の漫画作品	25.467834,0.8455929860481005
なかよし増刊・派生誌の漫画作品	24.49232,0.8455929860481005
サッカー日本代表選手	24.53992,0.8469715654128681
アルビレックス新潟レディースの選手	149.271602,0.9618633029749555
武蔵丘短期大学出身の人物	24.705078,0.8549850657828931
東京都の一般社団法人	24.62174,0.8620312879551039
千葉県の私立幼稚園	24.39063,0.8625590313500227
テレビ東京のミニ番組	25.131802,0.8670848384206568
テレビ東京の冠番組	25.131802,0.8670848384206568
SOD女優	24.50465,0.8721803294622104
E-BODY女優	24.50465,0.8721803294622104
アタッカーズ女優	24.50465,0.8721803294622104
マドンナ女優	24.50465,0.8721803294622104
スターチャイルドの楽曲	24.344414,0.8814490410308069
グローリークエスト女優	24.843145,0.8859227972346059
タカラ映像女優	24.843145,0.8859227972346059
ハマジム女優	24.843145,0.8859227972346059
映天女優	24.843145,0.8859227972346059
なでしこ女優	24.843145,0.8859227972346059
グレイズ女優	24.843145,0.8859227972346059
クリスタル映像女優	24.843145,0.8859227972346059
ケイ・エム・プロデュース女優	24.50465,0.8859227972346059
なでしこリーグカップ	102.227699,0.9539311688901905
スペランツァFC大阪高槻の選手	98.343303,0.951954680415047
日本の女子サッカークラブ	25.022842,0.8884832147728342
皇后杯全日本女子サッカー選手権大会	24.690117,0.8884203368508038
中国地方のサッカークラブ	25.022842,0.8926835257657106
日本テレビの人物	24.718065,0.8930405132780348
浦和レッドダイヤモンズ・レディースの選手	99.119349,0.9681863379357191
日本テレビのバラエティ番組	24.690117,0.9057553359460007
千葉市の学校	24.39063,0.9074533606102878
伊賀フットボールクラブくノ一の選手	74.75367,0.9522593428238842
福岡J・アンクラスの選手	74.171957,0.9522593428238842
岡山県のスポーツチーム	25.022842,0.909492848840813
TASAKIペルーレFCの選手	73.396493,0.9522593428238842
美浜区の教育	24.39063,0.9239343418670594
ジェフユナイテッド市原・千葉レディースの選手	74.800059,0.9692897785959528
ASエルフェン埼玉の選手	49.512696,0.9529726278808334
国内のサッカーカップ戦	25.665071,0.9428796445532621
清水FCレディースの選手	24.301613,0.9529726278808334
美浜区の歴史	24.39063,0.9616764009621676
東京都区部の公立小学校	25.068611,0.9635048219745384
愛媛FCレディースの選手	24.843145,0.9672434386203972
藤和不動産サッカー部の選手	24.53992,0.967902074760858
高梁市	25.022842,0.9739183167462085
ヴェルディ川崎の選手	24.96272,0.9888888888888888
## IMINE2-J-014	ボーダーズ
存命人物	409.3148755000001,
チアリーダー	152.5040275,0.18028549382716047
英語の姓	134.82265,0.34652431864994826
東京都出身の人物	90.976126,0.3029834933055718
1975年生	76.0776065,0.2653264308982075
アメリカ合衆国の俳優	106.1408535,0.37291799434045814
スポーツ関係者	152.425247,0.555960648148148
スポーツ組織	62.533046999999996,0.23473789544753085
スノーボード	92.034902,0.3635995298181251
ウィンタースポーツに関する組織	61.792837999999996,0.3049957301996408
1973年生	45.785895000000004,0.2678113568815728
音楽教育	15.943782,0.1840087193147736
カード	15.421397,0.1958358317067923
スノーボードに関する組織	61.792837999999996,0.3692082059232587
日本の国内競技連盟	15.075905,0.2087364960453262
学校放送	15.943782,0.221674315688956
ウィンタースポーツ	92.034902,0.5076578575102881
チアリーディング	46.453955,0.3489575175921071
喫茶文化	14.99344,0.23957370791895288
国際競技連盟	15.172495,0.2409346993970646
電子戦機	29.720343,0.30123263420031726
フィーダーのアルバム	60.44986599999999,0.4235954605472322
女性職	15.256781,0.26940000548169507
スポーツ	76.34111800000001,0.5180460310570987
競馬の画像提供依頼	45.2320145,0.3952277912848644
野球に関する記事	45.8488275,0.40062572337962965
オールタイム100ビデオゲーム選出	14.99344,0.2932361509763739
日本の実業家	15.753166,0.29662515841914655
食玩	15.18744,0.2982905165800692
バーコード	15.421397,0.29979455689677603
ツーソン出身の人物	15.031345,0.2991203739426154
バスケットボール関連一覧	15.670021,0.3018062233839832
フォートローダーデール出身の人物	14.878194,0.2991203739426154
2001年没	15.222149,0.3174665474504291
2010年没	15.0257015,0.3174665474504291
1990年没	15.0012665,0.3174665474504291
サーフィン	15.001083,0.31766798624969067
フィギュア	15.18744,0.3201165066407588
1931年生	15.753166,0.32282934326581186
1989年生	15.682837,0.32282934326581186
1987年生	15.564964,0.32282934326581186
ウェブ制作会社	15.202909,0.322546339881737
1963年生	15.194955,0.32282934326581186
1974年生	15.180843,0.32282934326581186
1959年生	15.175543,0.32282934326581186
1941年生	15.111657,0.32282934326581186
1979年生	15.079916,0.32282934326581186
1977年生	15.062855,0.32282934326581186
1968年生	15.043627,0.32282934326581186
1972年生	15.031345,0.32282934326581186
1940年生	15.0257015,0.32282934326581186
1976年生	15.000338,0.32282934326581186
1957年生	14.976252,0.32282934326581186
1995年生	14.969587,0.32282934326581186
1983年生	14.963426,0.32282934326581186
1965年生	14.878194,0.32282934326581186
1984年生	14.827697,0.32282934326581186
競馬	59.697089,0.5005873842592593
バンドリーダー	15.753166,0.3336258703390636
経営破綻した企業	16.34485,0.33802963892178595
日本の人物一覧	15.5979595,0.3352880658436214
種牡馬繋養牧場	14.829993,0.3379772538410565
競馬のイベント	14.827152,0.3397572923476258
イギリス	30.039935,0.4037968209459162
ボーイング製軍用機	29.720343,0.4073592288303226
コミックソング	15.579952,0.35314029524277096
アメリカ合衆国の軍用機	29.720343,0.4111570065594547
廃刊した文庫	15.191568,0.35852987768845757
日本の情報・通信業	15.202909,0.3599093974431259
かつて存在したアメリカ合衆国の企業	16.34485,0.36623540906076146
早期警戒機	14.875882,0.3612120406539352
2003年の映画	15.126101,0.3640048123168362
1979年の映画	14.830467,0.3640048123168362
学研の玩具	14.99344,0.36551216499386363
コンピュータゲーム	45.53027,0.48935727513227517
日本の音楽	15.579952,0.3781000142211737
演芸	15.579952,0.3791724502175751
お笑い芸人	30.025190000000002,0.4392470651455026
音楽	45.581078,0.5027294560185185
1461年没	15.009387,0.3819253384590584
プロジェクトバスケットボール項目	30.464834,0.4436848958333333
フランスの野球	30.735665,0.44982547076422513
イギリスの音楽プロデューサー	15.0273285,0.3887200537660922
カナディアンフットボール	30.300403000000003,0.4494894749054619
アメリカ合衆国の競馬	14.827152,0.3898120190911568
スケートボーダー	30.726464,0.4583578008678769
NFLの一覧	15.5979595,0.4004661301597979
コンピュータゲームの周辺機器	15.421397,0.40175785962255006
競馬殿堂	15.0012665,0.4001357360320504
日本のお笑いグループ	30.025190000000002,0.46018331407861335
薔薇戦争の人物	15.009387,0.401614638801741
2002年のコンピュータゲーム	15.18744,0.4025037171619138
日本の女性声優	14.9816,0.4032489155428448
日本のスポーツ組織	15.075905,0.40415643522183786
日本のスポーツチーム一覧	15.670021,0.41023431267796723
日本の男性声優	14.972572,0.4091745319974923
アメリカ合衆国調教の競走馬	45.2320145,0.529428648102267
楽曲	15.289796,0.4138065994425959
カナダ	30.300403000000003,0.49045717592592597
テレビ番組	31.270082000000002,0.4967175925925926
企業	31.402416000000002,0.4977604166666666
オリンピック競技	14.915764,0.42980137535901053
日本の歌手	15.753166,0.4356003549276664
チアリーディングを題材とした作品	15.075741,0.43486697563317395
野球	30.868415,0.5117277922453703
声優	29.954172,0.5151266718106995
ロックフェスティバル	14.9344225,0.447430838939047
カリフォルニア州の人物	45.7068765,0.6025220033552311
アメリカ合衆国生産の競走馬	45.2320145,0.6068553703737193
現役中に死亡した競走馬	15.0012665,0.4675560679689513
高等学校を舞台とした漫画作品	15.075741,0.4683255210007823
超常現象	15.191568,0.4688988733479217
野球リーグ	15.816114,0.472167115243901
超常現象を題材とした漫画作品	15.075741,0.4719627349771784
ゲームボーイアドバンス用ソフト	45.228688,0.6196768433990267
食文化	30.672315,0.5572916666666666
軍艦	14.900547,0.48289544753086416
市販清涼飲料水	15.484875,0.49315713520828564
ドイツ系日本人	14.827697,0.49269714397330994
かつて存在した日本の工業製品メーカー	16.199507,0.5037243087678543
歴史	15.009387,0.5
サッカー選手	14.827697,0.4993614969135803
過去のジャニーズ所属者	14.907083,0.5006919320308926
千葉県出身の人物	30.457913,0.5817513604776329
アルバム	14.987616,0.5063204362657335
書籍	15.191568,0.5080246288437358
バスケットボール	15.58664,0.5117277922453703
アニメ	15.18744,0.5110253085271531
サッカー	14.840603,0.5097957658179012
イギリスの音楽祭	14.9344225,0.5129313409543214
継続中の作品	15.075741,0.5144192386831276
NYSE上場企業	16.34485,0.5245338710006732
歌手	15.753166,0.5221245659722222
1949年のテニス	15.396239,0.5215475096651555
アメリカ合衆国供用種牡馬	30.230748,0.5973023917877659
アメリカ合衆国の競馬の競走	29.856603999999997,0.5955624464806242
サラブレッド	45.2320145,0.6801620535334736
女性の一覧	15.5979595,0.5451388888888888
日本のスノーボード	15.075905,0.5458753219047324
2001年のアルバム	29.916417,0.6338234131998738
昭和時代戦後の文化	14.99344,0.5481607899658844
ゲームボーイアドバンス	15.421397,0.5516873057233004
ウェブコミック	15.075741,0.5560343335416238
スペースインベーダー	45.443286,0.7343796156849106
ルクセンブルクのサッカー	14.840603,0.5741892574647376
日本のバンド	15.038141,0.5769986537213088
フィクションの吸血鬼	15.075741,0.5791191997383731
インドのフリゲート	14.900547,0.5783636147990714
イギリスのアルバム	15.118591,0.5803749855615276
日本のアイドルグループ	15.016355,0.5804010678729117
ロックのアルバム	15.118591,0.5814100349198408
ザ・ドリフターズ	15.753166,0.5853912691559162
ロンドン出身の人物	14.969587,0.5867890740726147
落語の団体	15.047726,0.587969827404911
イギリスの岬	15.181618,0.590315479499853
パラマウント映画の作品	14.830467,0.5895515628300501
ローラースケート	15.591509,0.6026616034807741
ウェールズ史の人物	15.009387,0.6001026626012147
ホリプロ	30.507846,0.694080616216753
NHKの子供向け番組	15.943782,0.6095129150085192
ギャグ漫画	15.075741,0.6065416624429659
ボーフム出身の人物	14.827697,0.6060741187749802
テューダー家	15.009387,0.6075045083368363
ニュー・オーダーのアルバム	14.987616,0.607821472555645
ホラー漫画	15.075741,0.6194871668902935
日本のホッケー大会	15.591509,0.6275798660904485
2002年のテレビアニメ	15.18744,0.62634492596917
群馬県出身の人物	15.753166,0.6298622434272533
アメコミ作品	15.075741,0.6264862072544993
日本のスポーツ番組	15.3263,0.6280465584073701
大阪府出身の人物	15.5906,0.6301058178003752
日本選手権大会	15.591509,0.6318315181584233
福島県出身の人物	14.963426,0.6281663791582776
愛知県出身の人物	14.9816,0.6298622434272534
スイスのオリンピック選手	15.062855,0.6329274083315983
ヒューストン出身の人物	15.111657,0.6343566400049604
ニュー・オーダーの楽曲	15.289796,0.6390642840427845
ドラマCD	15.2264595,0.6393037216946463
新潟市出身の人物	15.000338,0.6393846578030195
アメリカ合衆国のコメディ映画	15.126101,0.6413969494564554
スイスのオリンピック金メダリスト	15.062855,0.6437630830773117
ニンテンドーゲームキューブ	15.421397,0.6471405878507319
アメリカ合衆国のオリンピック金メダリスト	14.878194,0.6444206714653931
2008年のアルバム	15.320734,0.648326708830986
1997年のアルバム	15.236873,0.648326708830986
2005年のアルバム	15.2264595,0.648326708830986
1992年のアルバム	15.118591,0.648326708830986
2002年のアルバム	14.963458,0.648326708830986
日本のサーファー	15.304092,0.6552381821201863
丸紅	15.58664,0.6577949320225175
ワーナー・ブラザーズの作品	15.126101,0.6553248683366434
コモドールのパーソナルコンピュータ	15.513838,0.657958195706093
アメリカ合衆国のアクション映画	14.830467,0.6546213232254658
渋谷区の企業	15.202909,0.6603474830912562
ワシントン・レッドスキンズ	30.334664,0.7517314814284823
携帯電話アプリゲーム	14.99344,0.6638243192183416
メガドライブ用ソフト	14.99344,0.6647454585975495
ゲームボーイ用ソフト	14.99344,0.6660999610293907
アイドル	14.907083,0.6666666666666666
リコーダー	15.943782,0.6733551089509234
FLASHアニメーション	15.18744,0.6693019291191329
1985年のアーケードゲーム	15.438835,0.6720278785055327
アメリカ合衆国の冒険映画	15.126101,0.6727824127993159
スイスのスノーボード選手	15.062855,0.6749024553206406
アメリカ合衆国の騎手	15.031345,0.6780718568179339
1978年のアーケードゲーム	14.99344,0.6785943341524525
ウィンブルドン選手権	15.396239,0.6847921313455829
スコティッシュ・ボーダーズ	45.946077,0.8689332561728395
青二プロダクション	14.972572,0.7821765046296295
Wii用ソフト	14.99344,0.7867288966049382
日本のスノーボード選手	15.062452,0.7883444787379972
ニンテンドーDS用ソフト	14.99344,0.7901163580246913
日本のサッカー選手	14.827697,0.78950760173754
角川春樹事務所	15.191568,0.7922553369341563
ヴァージン・レコードのアルバム	15.118591,0.7935943930041152
小説を原作とする映画	14.830467,0.794181731334509
アメリカ合衆国の書店	16.34485,0.8049045138888888
ダラス・カウボーイズ	30.944625000000002,0.9147569444444443
1990年のアーケードゲーム	15.011011,0.8021867283950618
I-revoゲーム対応ソフト	14.99344,0.8022703317901234
サンフランシスコ・フォーティナイナーズ	30.406233999999998,0.9130208333333333
ファミリーコンピュータ用ソフト	14.99344,0.8051937532150205
UPLのゲームソフト	15.438835,0.8114677469135801
バーチャルコンソール対応ソフト	14.99344,0.8089437665343915
野球選手	14.9804125,0.8090277777777778
冬季オリンピックメダリスト	15.062855,0.8119116512345679
MSX/MSX2用ソフト	14.99344,0.8114917695473252
ウォルター・ヒルの監督映画	14.830467,0.8119722222222222
ポニーキャニオンのアルバム	15.2264595,0.817625171467764
1993年のシングル	15.289796,0.8211471193415637
アフリカ系アメリカ人のバスケットボール選手	14.878194,0.82544045781893
ワンダースワン用ソフト	14.99344,0.8287898148148147
セガサターン用ソフト	14.99344,0.8287898148148147
SG-1000用ソフト	14.99344,0.8287898148148147
アメリカ合衆国の女子野球選手	14.9804125,0.8300582990397805
獨協大学出身の人物	15.180843,0.8344714506172839
専修大学出身の人物	15.153821,0.8349922839506173
吸血鬼漫画	15.075741,0.8356746031746032
かつて存在した日本のコンピュータゲームメーカー	16.199507,0.8441860939643347
アルバータ州のスポーツ	15.427381,0.8407793209876544
アメリカ合衆国のオリンピック銅メダリスト	14.878194,0.838794045781893
PlayStation用ソフト	14.99344,0.841697974537037
ゲームキューブ用ソフト	14.99344,0.8443021412037037
スーパーファミコン用ソフト	14.99344,0.8443021412037037
現在活動していない東京都のスポーツチーム	15.58664,0.8494738082990396
ゲームアーカイブス対応ソフト	14.99344,0.8487860360939643
アメリカ合衆国の男子バスケットボール選手	14.878194,0.8507437414266118
SIMPLEシリーズ	14.99344,0.8522591820987655
ナムコのゲームソフト	15.18744,0.8547002057613169
ロサンゼルス・クリッパーズ	15.000338,0.8573032407407407
アメリカ合衆国代表のバスケットボール選手	14.878194,0.8566277649176954
ミシガン州の企業	16.34485,0.8688368055555555
ローファイ・バンド	15.129517,0.866724537037037
イングランドのサッカー選手	14.969587,0.868154435299497
北海道テレビ放送の番組	15.3263,0.8771296296296296
フジテレビ系アニメ	15.18744,0.8798229166666667
ダイドードリンコ	15.484875,0.8917341820987654
ニューヨーク市を舞台とした映画作品	14.830467,0.8875988511659807
NESYS	14.99344,0.8907344907407406
オックスフォードシャー出身の人物	15.009387,0.8938400205761317
オーランド・マジック	15.052962,0.8947019675925925
トヨタ自動車の人物	15.564964,0.9051660808184727
京都ハンナリーズ	15.132049,0.9066449116941014
IPhone用ゲームソフト	14.99344,0.9063036779835391
プログレッシブ・メタル・バンド	14.871609,0.9069444444444443
BSフジのテレビ番組	15.001083,0.9103009259259258
滋賀レイクスターズ	15.651885,0.9180049189814814
ソニー・ミュージックレコーズのアーティスト	15.016355,0.9205246913580247
アメリカ合衆国のオルタナティヴ・ロック・バンド	15.129517,0.9232060185185185
国内の最上位サッカーリーグ	14.840603,0.9213779578189301
現在活動していない日本の男子バスケットボールチーム	15.58664,0.9268968621399176
オリンピックバスケットボールアメリカ合衆国代表選手	14.878194,0.9237182784636487
IPad用ゲームソフト	14.99344,0.9259546296296295
北海道テレビ放送の深夜番組	15.3263,0.9302854938271605
サンディエゴ・チャージャーズ	15.000338,0.9286458333333332
アメリカ合衆国のインディー・ロック・バンド	15.129517,0.9346836419753085
スコットランドのタウン	14.858317,0.9360728982951205
アメリカ合衆国のヘヴィメタル・バンド	14.871609,0.9372685185185186
ワシントン・ウィザーズの選手	14.878194,0.9484664351851853
ロサンゼルス・レイカーズの選手	14.878194,0.95078125
スコットランドのカウンシル・エリア	15.906142,0.9657671957671957
ゴールデンステート・ウォリアーズの選手	14.878194,0.9594618055555555
リーズ	14.9344225,0.9625
スコットランドのヴィレッジ	15.181618,0.9657671957671957
サクラメント・キングスの選手	14.878194,0.96640625
Bjリーグ	15.670021,0.9738168724279834
FCチューリッヒの選手	14.827697,0.9722222222222221
バーミンガム・シティFCの選手	14.969587,0.9734182098765432
ダービー・カウンティFCの選手	14.969587,0.9746334876543209
アメリカ合衆国の独立リーグ	15.052301,0.9806455761316872
リヴァプールFCの選手	14.969587,0.9817515432098765
レディング	14.9344225,0.9828993055555555
スコットランドのカウンティ・タウン	14.858317,0.9833333333333334
ジェフユナイテッド市原・千葉リザーブズの選手	14.827697,0.9866736057527433
## IMINE2-J-015	マンチェスター
存命人物	651.9848450000001,
マンチェスター・ユナイテッドFCの選手	525.7486110000001,0.0
サッカー選手	377.745335,0.25850501687588107
イングランドのサッカー選手	399.30057,0.8526775215066794
コンピュータ史	126.34966,0.16906624434239906
サッカー	191.840477,0.479636672217089
マンチェスター	261.17231,0.8227353234470172
マンチェスター出身の人物	253.43504,0.8414951122038989
サッカーの賞	126.82771,0.4733476900374847
マンチェスター・シティFCの選手	252.67013500000002,0.961980333865853
ヴィクトリア・メダル受賞者	21.366013,0.1497584333664021
1990年生	104.65475699999999,0.45331523842354426
同名の地名	21.746208,0.18139491077917883
トロフィー	21.033466,0.19051265289208957
サッカーイングランド代表選手	230.871657,0.9390813277161763
リスター予防医学研究所の人物	21.322895,0.21272191138964788
マンチェスターの建築物	214.547022,0.8953051906195335
ノーベル化学賞受賞者	21.322895,0.222660001162863
コンピュータ関連人物	21.196287,0.2236464407886485
地球物理学者	21.236677,0.24006757942469775
電気工学者	21.196287,0.25296002121913574
学派	21.292915,0.26858778530398775
古典派経済学	21.292915,0.2788198663394979
空港	42.767265,0.35762482455557054
自由主義	21.292915,0.28379156956203216
イングランドの都市	155.884059,0.7589536095353538
経済思想の歴史	21.292915,0.2847370840253051
経済史	21.292915,0.31299076287324434
1842年開業の鉄道駅	22.001497,0.33558583208262227
19世紀の建築物	21.200829,0.3407081755166487
天文学に関する記事	20.903402,0.3409211837705761
イギリス	42.843551000000005,0.41894179029834794
ブラジル出身の双子	41.877879,0.44254270172467985
イングランドのディストリクト	177.111689,0.9253165478002113
1992年生	42.328959999999995,0.45331523842354426
1984年生	42.21864,0.45331523842354426
1988年生	42.209362,0.45331523842354426
1957年生	42.132675,0.45331523842354426
1989年生	42.121004,0.45331523842354426
1942年生	42.055769,0.45331523842354426
1981年生	41.961655,0.45331523842354426
サッカー中国代表選手	41.856583,0.45696848366928305
王立協会	21.196287,0.3904123520252488
屋根付橋	21.06268,0.39144975352625233
アメリカ合衆国の実業家	20.943882,0.39106399948295056
自転車競技場	21.351788,0.3936949845480554
南米年間最優秀選手賞受賞者	21.243706,0.39408939342385396
2005年設立	21.25058,0.4055234927953769
1844年開業の鉄道駅	21.502144,0.4081124960762006
航空事故死した人物	21.060081,0.4115554017912427
グレーター・マンチェスターの大都市バラ	177.111689,0.9707284097972393
選手兼任監督	20.878138,0.4234834647472994
マンチェスター大学の教員	106.032881,0.7321361757687471
ユダヤ系イギリス人	20.911009,0.4314010000595799
ノース・ウェスト・イングランドのシティ	155.884059,0.9147569444444446
1946年竣工船	21.120106,0.4450250562737955
イギリスの経営大学院	21.615921,0.4473577053996271
バロンドール受賞者	21.360962,0.44673852488827803
1940年没	21.322895,0.4474425994436483
1970年没	21.236677,0.4474425994436483
2001年没	21.196287,0.4474425994436483
1958年没	21.060081,0.4474425994436483
2014年没	20.943882,0.4474425994436483
1939年没	20.932022,0.4474425994436483
1934年没	20.911009,0.4474425994436483
2011年のイギリス	42.000658,0.5227920176397461
イギリスの工学者	21.196287,0.45412808641975305
1938年生	21.366013,0.45664874627593444
1940年生	21.360962,0.45664874627593444
サッカーの試合	41.906245999999996,0.529976331085498
1921年生	21.196287,0.45664874627593444
1993年生	21.097633,0.45664874627593444
1995年生	21.094357,0.45664874627593444
1932年生	21.060081,0.45664874627593444
1978年生	21.028059,0.45664874627593444
1975年生	20.962667,0.45664874627593444
1971年生	20.958948,0.45664874627593444
1979年生	20.945492,0.45664874627593444
1928年生	20.943882,0.45664874627593444
1987年生	20.934603,0.45664874627593444
1903年生	20.932022,0.45664874627593444
1985年生	20.93125,0.45664874627593444
1977年生	20.925333,0.45664874627593444
1966年生	20.878138,0.45664874627593444
1980年生	20.867388,0.45664874627593444
イギリスの物理学者	20.911009,0.4577567753688087
1865年生	21.322895,0.46534837985289496
1888年生	21.236677,0.46534837985289496
双曲面構造	21.06268,0.46547513985339506
1851年生	20.911009,0.46534837985289496
イギリスの地理学者	21.366013,0.46849817346643513
2002年のスポーツ	21.089989,0.4676013711058062
グレーター・マンチェスターの地方自治	155.884059,0.95401137447488
イギリスの化学者	21.322895,0.4784635172669569
2014年のサッカー	63.21607900000001,0.6297764740199545
2008年のサッカー	63.090028000000004,0.6297764740199545
イギリスの天文学者	21.236677,0.48195174282820763
イングランドのサッカー	84.662971,0.7089305214207693
サッカーの記録と統計	20.879288,0.48977632573457264
イギリスのプロレス会場	21.509762,0.4989192860711913
マンチェスターのスポーツ	128.380276,0.8795099495318316
歩道橋	21.06268,0.49988533595625434
放送局のオーケストラ	20.970755,0.5004233282020583
学校	21.350155,0.5025462962962963
路面電車路線	21.793993,0.5071394041852422
マンチェスター・ユナイテッドFC	148.28537100000003,0.9572713299870327
スペイン系イギリス人	21.028059,0.5163713737247086
ブリュッセル出身の人物	20.934168,0.5174336763395622
大英帝国勲章	42.341041000000004,0.5965111468931388
2002年のイギリス	21.089989,0.5227920176397461
2014年のイギリス	20.87667,0.5227920176397461
2015年のイギリス	20.87667,0.5227920176397461
サンダーランドAFCの選手	146.667859,0.9693933390132029
イギリスのコンサート会場	42.829161,0.6171987920527666
2008年のロシア	20.90554,0.5395211511515131
現存しない陸上競技場	21.319399,0.5439093629723784
ヨーロッパの路面電車	21.793993,0.54868470382516
2011年のサッカー	42.000658,0.6297764740199545
2014年のカナダ	21.404083,0.5589837052040466
ポルトガル系ブラジル人	21.094357,0.5598188938721707
イタリア系ブラジル人	21.196949,0.5602754267939815
近現代の作曲家	20.932022,0.5672455818345215
イングランドサッカー殿堂	21.360962,0.5703805018751309
イギリスの作曲家	20.932022,0.5707830978926135
ニューハンプシャー州の空港	21.446243,0.5797396182185394
イングランドのサッカー大会	64.282027,0.7323982814065337
天文学	42.140079,0.6597222222222222
ロンドンのスポーツ	21.000706,0.5861654581839005
大連出身の人物	41.856583,0.6614918901105967
スポーツ	42.599751,0.6675405092592592
2010年のイングランド	20.999952,0.5931208104263117
ユダヤ系アメリカ人	20.943882,0.5930729219718759
グレナダ系イギリス人	20.883078,0.5959813850308642
イギリス開催の国際スポーツ競技大会	21.089989,0.5970072679558898
イギリスの橋	21.06268,0.6041578448957977
犬の品種	21.186914,0.6060838206338107
モスクワのスポーツ	20.90554,0.6175652237531524
大学	42.940495,0.6970486111111112
NFLのオーナー	20.943882,0.6198805548690146
イングランドの大学	42.940495,0.6988475135611355
2007年のサッカー	21.024876,0.6297764740199545
2010年のサッカー	20.999952,0.6297764740199545
2013年のサッカー	20.935326,0.6297764740199545
2015年のサッカー	20.87667,0.6297764740199545
フランクフルト・アム・マイン出身の人物	20.911009,0.6300453384880829
BBCの音楽	20.970755,0.6306711931158243
2014年のアメリカ合衆国のスポーツ	21.404083,0.635617223110818
双子のサッカー選手	41.877879,0.7086555721664952
FAプレミアリーグ	84.335352,0.8597358252198716
ドイツ系イギリス人	20.911009,0.6360277812383902
現存しないイギリスのサッカー競技施設	43.109338,0.722354055927069
カルガリー出身の人物	21.078577,0.6483450681584361
学校	21.615921,0.6575231481481482
マンチェスターの教育	64.556416,0.814444587015297
クラシック音楽	20.932022,0.6600198412698413
音楽家	20.932022,0.6611111111111112
イギリスの屋内競技施設	21.509762,0.6636163893543972
ブラジルのサッカー選手	63.074828,0.8115844658342541
イングランドのサッカー競技施設	64.428737,0.8170050496521601
科学者	21.236677,0.6655555555555555
マンチェスターの文化	63.464499,0.8153557004037145
第一級指定建築物	21.200829,0.6721099178138038
イギリスの空港	21.56331,0.6735373221126137
ラッセル・グループ	21.350155,0.6743925624517747
エジプトの空港	21.203955,0.6761917004988044
リオデジャネイロ州出身の人物	41.877879,0.7498575846354166
イングランドのサッカー指導者	42.022892,0.7525174065083925
サッカーのランキング	20.879288,0.6782826116883385
イングランドのサッカーのライバル対決	42.526235,0.7591382241536161
キャヴェンディッシュ研究所の人物	20.911009,0.6878737692924624
