## IMINE2-J-001	cvs
オープンソース	241.53808900000004,
大日本帝国海軍軍人	48.160587,0.7285218040800636
青二プロダクション	48.160587,0.7373046924542572
東京都区部の公立小学校	96.321174,0.9199879001774479
渋谷区の交通	48.160587,0.7664517921556673
三菱地所	48.160587,0.7710648980018183
2009年のアルバム	17.626511,0.651499089562623
同潤会	48.160587,0.7816752037737043
渋谷区の地理	48.160587,0.7829295862863892
日本の市町村	8.864753,0.6311111111111112
兵庫県	8.827026,0.6311111111111112
青森県	8.825982,0.6311111111111112
鹿児島県	8.810281,0.6311111111111112
2006年開業の鉄道駅	8.805984,0.6411294427388392
広島県の学校	8.849278,0.6441250000000001
宇宙戦艦ヤマトシリーズ	48.160587,0.8014097381739883
六本木	48.160587,0.8067037357657059
永田町	48.160587,0.8067037357657059
麻布	48.160587,0.8067037357657059
新宿区の交通	48.160587,0.8114268757462022
東京都港区の公園	48.160587,0.8128060235692762
東京都区部のスポーツ施設	48.160587,0.8140514789072599
関東地方のコミュニティバス	48.160587,0.8165309742756016
バス	8.86328,0.6622222222222223
法	8.827026,0.6621913580246914
北杜夫	48.160587,0.8182072436662771
学者	8.827026,0.6666666666666667
道路	8.833982,0.6697337962962964
国際スポーツ振興協会	48.160587,0.8266284906126692
新宿区の地理	48.160587,0.827904669876924
東京都の博物館	48.160587,0.830212662050929
東京地下鉄	48.160587,0.8311022438270681
箱根駅伝	48.160587,0.8326085420127186
秩父宮	48.160587,0.8334472741697221
野村不動産	48.160587,0.8343673214922669
東京農業大学	48.160587,0.8438936888473142
第一生命保険	48.160587,0.846453011432375
USEN	48.160587,0.847185405771319
東京都の重要文化財	48.160587,0.8496030423686789
セゾングループ	48.160587,0.850664370854211
青山学院大学の教員	8.832964,0.705918005464741
静岡県立大学の教員	8.827026,0.7064144840249199
大阪学院大学の教員	8.827026,0.7064144840249199
福島県出身の人物	8.832964,0.7102203343127458
日本の公立小学校	8.905137,0.7128612164923411
東証マザーズ上場企業	48.160587,0.869200674936017
戦国武将	8.803849,0.7244040584623247
渋谷区の超高層ビル	48.160587,0.8813917552848057
青山テルマのアルバム	17.626511,0.7734408433567884
東京都の登録博物館	48.160587,0.8935992898079085
日本スポーツ振興センター	48.160587,0.8951588747496023
松蔭大学の教員	8.827026,0.7446988617239495
ワコール	48.160587,0.9019873207019627
東京都港区の中学校	48.160587,0.9146472456490936
関東地方のフットボール専用の球技場	48.160587,0.9168623743462792
日本の公立中学校	8.868669,0.7691033176961612
学校法人青山学院	17.660376,0.8097604779902072
私立中高一貫校	8.849278,0.785665824807575
東京都交通局の鉄道駅	48.160587,0.9521510454042932
メソジスト派の学校	8.852275,0.8024000309339414
東京都区部の公立中学校	48.160587,0.9571992851746476
渋谷区の画像提供依頼	8.808101,0.8032987162938829
渋谷区の学校	8.808101,0.8128010141570717
中部地方のコミュニティバス	8.86328,0.8165309742756016
近畿地方のコミュニティバス	8.86328,0.8165309742756016
青山学院大学出身の人物	8.832964,0.8176197899466967
日本基督教団	8.852275,0.821612940600677
東京都港区域の廃止市町村	8.864753,0.8342439486441038
三重交通	8.86328,0.8440889958710139
質問があるページ	48.160587,1.0
アルバム	8.811329,0.8528194444444444
日本のメソジスト	8.852275,0.8750969122554081
東京市の区	8.864753,0.8771751712407064
青山氏	26.462254,0.9534825035901062
呉市の学校	8.849278,0.8856590456548061
北海道の町・字	8.884174,0.8871199091137456
青山学院大学	8.852275,0.9062544111405358
三重県道	8.833982,0.911570226964576
IGRいわて銀河鉄道の鉄道駅	8.805984,0.9144704237622038
日本のプロテスタント系幼稚園	8.808101,0.9234257066297691
伊賀市の交通	8.86328,0.925182616145595
江戸幕府旗本	8.808611,0.9340499089524033
広島県の私立高等学校	8.849278,0.9347263402269723
広島県の私立中学校	8.849278,0.9347263402269723
盛岡市の鉄道駅	8.805984,0.9371676749976162
東京都区部の私立幼稚園	8.808101,0.9386767497179836
当別町の地理	8.884174,0.9543877489457908
新潟市西区の町・字	8.908925,0.9596892429027869
垂水区の町名	8.827026,0.962296408491253
薩摩川内市の町・字	8.810281,0.9696700614902454
我孫子市の町名	8.876693,0.9830145640432099
三木市の町・字	8.86686,0.9889351851851853
弘前市の大字	8.825982,0.9889351851851853
## IMINE2-J-013	なでしこ
存命人物	1730.7897380000002,
日本の女子サッカー選手	1606.624665,0.09092881944444445
サッカー選手	1361.424068,0.23158392735001443
サッカー日本女子代表選手	719.442983,0.6273343178543116
岡山湯郷Belleの選手	468.212081,0.8326707214067083
日テレ・ベレーザの選手	373.3298050000001,0.951954680415047
東京都出身の人物	223.684,0.49641440654358554
1986年生	198.594055,0.4544719075669676
1989年生	197.79536,0.4544719075669676
1985年生	172.436093,0.4544719075669676
1987年生	172.377069,0.4544719075669676
東京電力女子サッカー部マリーゼの選手	294.16788699999995,0.9352033775874959
1994年生	123.602592,0.4544719075669676
日本のアジア競技大会金メダリスト	198.01138299999997,0.7088657947585439
INAC神戸レオネッサの選手	271.870403,0.951954680415047
神奈川県出身の人物	198.434772,0.7172891737853572
1990年生	99.83767600000002,0.4544719075669676
1988年生	99.183474,0.4544719075669676
1984年生	98.88454,0.4544719075669676
1993年生	98.78285,0.4544719075669676
大阪府出身の人物	172.909881,0.7175738091573708
サッカー	151.229846,0.6597222222222222
日本女子サッカーリーグ	227.56815099999997,0.9057650826141213
1992年生	74.56281200000001,0.4544719075669676
1982年生	74.43899,0.4544719075669676
1979年生	73.518243,0.4544719075669676
千葉県出身の人物	147.628522,0.7172891737853572
日本のオリンピック銀メダリスト	173.486991,0.8231112451819343
1976年生	49.264333,0.4544719075669676
タイ出身の人物	24.635672,0.3763888888888889
女子スポーツに関する組織	25.684853,0.3938529774067405
埼玉県出身の人物	123.534508,0.7172891737853572
オリンピックサッカー日本代表選手	173.486991,0.8778816333614349
1923年設立	25.068611,0.4063817590970197
日本出身の双子	24.301613,0.44698117940350646
1983年生	24.843145,0.4544719075669676
1996年生	24.843145,0.4544719075669676
1981年生	24.608315,0.4544719075669676
1956年生	24.53992,0.4544719075669676
1964年生	24.50465,0.4544719075669676
1995年生	24.50465,0.4544719075669676
1978年生	24.353188,0.4544719075669676
プログラミング言語	25.347174,0.46696656567032613
2011年の小説	24.96272,0.4783066058700321
ベガルタ仙台レディースの選手	171.43301400000001,0.966226463380535
学校	25.068611,0.5025462962962963
オールスターゲーム	25.244781,0.5045606317158208
アジア年間最優秀選手賞受賞者	49.174839000000006,0.5817220275348649
変身譚	25.084717,0.5379825135685303
日本の漫画家	25.314638,0.5508854144340134
北海道出身の人物	50.14171,0.6377901919158
AC長野パルセイロ・レディースの選手	147.666441,0.951954680415047
岩手県出身の人物	73.799969,0.7172891737853572
アルビレックス新潟レディースの選手	149.271602,0.9618633029749555
漫画	49.960154,0.6737731481481481
大正時代を舞台とした作品	24.96272,0.6073245545782487
日本のサッカー指導者	49.50264,0.6875831553054278
2013年の日本のサッカー	75.848641,0.7729520930842393
2010年の日本のサッカー	75.389452,0.7729520930842393
日本のAV女優	49.347795000000005,0.6973061744470164
日本語プログラミング言語	25.347174,0.6216923967541786
ユニバーシアードサッカー日本代表選手	99.600525,0.8645390560997273
NHKの教養番組	24.604809,0.6276490225295542
タイ系日本人	24.635672,0.6331748205393375
福岡県出身の人物	49.698368,0.7152708502383517
茨城県出身の人物	49.944927,0.7172891737853572
京都府出身の人物	49.485465000000005,0.7172891737853572
山口県出身の人物	49.119963,0.7172891737853572
広島県出身の人物	49.112965,0.7172891737853572
静岡県出身の人物	49.081904,0.7172891737853572
兵庫県出身の人物	48.961503,0.7172891737853572
東京都の学校	25.068611,0.6441250000000001
千葉県の学校	24.39063,0.6441250000000001
コンピュータ	25.347174,0.6527777777777778
スクリプト言語	25.347174,0.6579542327618831
グリム童話	25.084717,0.6580997254047453
シングル	24.344414,0.6597222222222222
文学	24.96272,0.6621141975308641
テレビ番組	24.604809,0.6620817901234568
女子サッカーを題材とした作品	24.49232,0.6664074655556188
札幌市出身の人物	24.50465,0.671906602461515
東京女子体育大学出身の人物	49.845055,0.7599935848432021
相模原市出身の人物	24.718065,0.6889480591595539
2012年の日本のサッカー	50.740588,0.7729520930842393
スポーツ関係者	24.543875,0.6944444444444444
日本のサッカー選手	49.50264,0.7783241581761897
なでしこリーグカップ	102.227699,0.9539311688901905
性風俗関係者	24.843145,0.7077777777777778
佐賀県出身の人物	25.522678,0.7152708502383517
スペランツァFC大阪高槻の選手	98.343303,0.951954680415047
岡山県出身の人物	24.98753,0.7172891737853572
島根県出身の人物	24.96272,0.7172891737853572
沖縄県出身の人物	24.301613,0.7152708502383517
宮城県出身の人物	24.843145,0.7172891737853572
青森県出身の人物	24.511648,0.7172891737853572
声優ユニットのシングル	24.344414,0.7172348089161451
栃木県出身の人物	24.337395,0.7172891737853572
川崎市出身の人物	24.635672,0.7182920977175735
山形県出身の人物	24.301613,0.7172891737853572
石川県出身の人物	24.608315,0.7187692777198279
福井県出身の人物	24.301613,0.7187692777198279
横浜市出身の人物	24.969816,0.7284124665002794
さいたま市出身の人物	24.353188,0.7284124665002794
浦和レッドダイヤモンズ・レディースの選手	99.119349,0.9681863379357191
セント・フォース	25.261902,0.7331930783070496
2008年のアルバム	25.030836,0.7326449380023513
日本の女子サッカー	49.50264,0.8233658051412618
日本の恋愛小説	24.96272,0.7453620362661728
サッカー漫画	24.49232,0.7442908887606848
2012年のOVA	24.96272,0.7540765972099013
日本の女子サッカー大会	50.909852,0.84503288871131
テレビのアイドル番組	24.690117,0.7691527388268395
2011年の日本のサッカー	25.165424,0.773187629935974
2014年の日本のサッカー	25.165424,0.773187629935974
NHKのドキュメンタリー番組	24.604809,0.7881223634695959
伊賀フットボールクラブくノ一の選手	74.75367,0.9522593428238842
福岡J・アンクラスの選手	74.171957,0.9522593428238842
TASAKIペルーレFCの選手	73.396493,0.9522593428238842
島みやえい子のアルバム	25.030836,0.800719930204588
テレビ東京の帯番組	25.131802,0.8033519470507362
テレビ東京の深夜番組	25.131802,0.8098644475270357
ジェフユナイテッド市原・千葉レディースの選手	74.800059,0.9692897785959528
2001年のシングル	24.344414,0.8089503271820235
日本テレビの深夜番組	24.690117,0.81046031203229
東京都北区の学校	25.068611,0.817351240387322
いぬかみっ!の登場人物	24.4095,0.8155479524936121
大阪体育大学出身の人物	25.314722,0.8217223229453727
国際女子サッカークラブ選手権	24.705078,0.8222188965552477
ハロー!プロジェクト	25.131802,0.8249888813290321
ルルル文庫	24.96272,0.8292189077509727
熟女系AV女優	24.50465,0.831249434720308
NMB48	24.690117,0.8430822246772259
なかよし本誌の漫画作品	25.467834,0.8464679049729009
なかよし増刊・派生誌の漫画作品	24.49232,0.8464679049729009
サッカー日本代表選手	24.53992,0.8475618693170809
武蔵丘短期大学出身の人物	24.705078,0.8560114454577462
東京都の一般社団法人	24.62174,0.8631150693602236
千葉県の私立幼稚園	24.39063,0.8636240174589508
テレビ東京の冠番組	25.131802,0.8680765219616076
テレビ東京のミニ番組	25.131802,0.8680765219616076
ASエルフェン埼玉の選手	49.512696,0.9529726278808334
マドンナ女優	24.50465,0.8731368102856792
アタッカーズ女優	24.50465,0.8731368102856792
E-BODY女優	24.50465,0.8731368102856792
SOD女優	24.50465,0.8731368102856792
スターチャイルドの楽曲	24.344414,0.8824075536151814
クリスタル映像女優	24.843145,0.8867494645477497
映天女優	24.843145,0.8867494645477497
グローリークエスト女優	24.843145,0.8867494645477497
グレイズ女優	24.843145,0.8867494645477497
タカラ映像女優	24.843145,0.8867494645477497
ハマジム女優	24.843145,0.8867494645477497
なでしこ女優	24.843145,0.8867494645477497
ケイ・エム・プロデュース女優	24.50465,0.8867494645477497
日本の女子サッカークラブ	25.022842,0.8894075449819686
皇后杯全日本女子サッカー選手権大会	24.690117,0.8894356456512974
中国地方のサッカークラブ	25.022842,0.8937375520864032
日本テレビの人物	24.718065,0.8939429458314705
日本テレビのバラエティ番組	24.690117,0.9064253712635555
千葉市の学校	24.39063,0.9081140205723625
岡山県のスポーツチーム	25.022842,0.9101640459132473
美浜区の教育	24.39063,0.9246139510431969
国内のサッカーカップ戦	25.665071,0.9428796445532621
清水FCレディースの選手	24.301613,0.9529726278808334
東京都区部の公立小学校	25.068611,0.9635048219745384
美浜区の歴史	24.39063,0.9616764009621676
愛媛FCレディースの選手	24.843145,0.9672434386203972
藤和不動産サッカー部の選手	24.53992,0.967902074760858
高梁市	25.022842,0.9739183167462085
ヴェルディ川崎の選手	24.96272,0.9888888888888888
## IMINE2-J-014	ボーダーズ
存命人物	409.3148755000001,
チアリーダー	152.5040275,0.18028549382716047
スポーツ関係者	152.425247,0.555960648148148
英語の姓	134.82265,0.34652431864994826
アメリカ合衆国の俳優	106.1408535,0.37291799434045814
東京都出身の人物	90.976126,0.32603093628742125
スノーボード	92.034902,0.3635995298181251
1975年生	76.0776065,0.2678113568815728
ウィンタースポーツ	92.034902,0.5076578575102881
スポーツ組織	62.533046999999996,0.23754413183547857
ウィンタースポーツに関する組織	61.792837999999996,0.3049957301996408
スポーツ	76.34111800000001,0.5180460310570987
スノーボードに関する組織	61.792837999999996,0.3692082059232587
フィーダーのアルバム	60.44986599999999,0.4235954605472322
競馬	59.697089,0.5005873842592593
1973年生	45.785895000000004,0.32282934326581186
チアリーディング	46.453955,0.3954221064729761
野球に関する記事	45.8488275,0.40062572337962965
競馬の画像提供依頼	45.2320145,0.396458324123639
コンピュータゲーム	45.53027,0.48935727513227517
音楽	45.581078,0.5027294560185185
カリフォルニア州の人物	45.7068765,0.5353003565249436
アメリカ合衆国調教の競走馬	45.2320145,0.6025220033552311
アメリカ合衆国生産の競走馬	45.2320145,0.6068553703737193
ゲームボーイアドバンス用ソフト	45.228688,0.6196768433990267
サラブレッド	45.2320145,0.6801620535334736
スペースインベーダー	45.443286,0.7343796156849106
電子戦機	29.720343,0.43510513829829894
経営破綻した企業	16.34485,0.22591759811362488
ボーイング製軍用機	29.720343,0.5171030265611163
アメリカ合衆国の軍用機	29.720343,0.5208366924687282
音楽教育	15.943782,0.23959082681648244
イギリス	30.039935,0.5368441358024691
スコティッシュ・ボーダーズ	45.946077,0.8627553350970018
プロジェクトバスケットボール項目	30.464834,0.5625
お笑い芸人	30.025190000000002,0.552458664021164
カード	15.421397,0.2623408564814815
カナディアンフットボール	30.300403000000003,0.6183641975308641
スケートボーダー	30.726464,0.629542824074074
日本のお笑いグループ	30.025190000000002,0.6174217096560847
フランスの野球	30.735665,0.6368672839506173
企業	31.402416000000002,0.6600694444444444
テレビ番組	31.270082000000002,0.6620817901234568
野球	30.868415,0.6597222222222222
カナダ	30.300403000000003,0.6527777777777778
声優	29.954172,0.6458333333333333
喫茶文化	14.99344,0.3011033950617284
オールタイム100ビデオゲーム選出	14.99344,0.3065072016460905
学校放送	15.943782,0.33802963892178595
国際競技連盟	15.172495,0.33953125
日本の人物一覧	15.5979595,0.35498971193415635
バスケットボール関連一覧	15.670021,0.3612847222222222
女性職	15.256781,0.3534336419753086
日本の国内競技連盟	15.075905,0.3506462191358024
食文化	30.672315,0.7291666666666666
千葉県出身の人物	30.457913,0.7276363168724279
日本の実業家	15.753166,0.38882458847736623
食玩	15.18744,0.37680489417989416
アメリカ合衆国供用種牡馬	30.230748,0.7402054398148148
アメリカ合衆国の競馬の競走	29.856603999999997,0.7329841820987654
2001年のアルバム	29.916417,0.7441863854595336
バンドリーダー	15.753166,0.42505079732510287
バーコード	15.421397,0.41749353436397707
フィギュア	15.18744,0.41307074560920043
サーフィン	15.001083,0.41328665123456787
ツーソン出身の人物	15.031345,0.4208333333333333
フォートローダーデール出身の人物	14.878194,0.4208333333333333
ウェブ制作会社	15.202909,0.4373433035714286
ホリプロ	30.507846,0.799410686728395
1931年生	15.753166,0.4615354938271604
1989年生	15.682837,0.4615354938271604
競馬のイベント	14.827152,0.44173900462962956
2001年没	15.222149,0.4522100970017636
1987年生	15.564964,0.4615354938271604
2010年没	15.0257015,0.4522100970017636
1990年没	15.0012665,0.4522100970017636
コミックソング	15.579952,0.4660290288800705
1963年生	15.194955,0.4615354938271604
1974年生	15.180843,0.4615354938271604
1959年生	15.175543,0.4615354938271604
1941年生	15.111657,0.4615354938271604
1979年生	15.079916,0.4615354938271604
1977年生	15.062855,0.4615354938271604
1968年生	15.043627,0.4615354938271604
1972年生	15.031345,0.4615354938271604
1940年生	15.0257015,0.4615354938271604
1976年生	15.000338,0.4615354938271604
1957年生	14.976252,0.4615354938271604
1995年生	14.969587,0.4615354938271604
1983年生	14.963426,0.4615354938271604
1965年生	14.878194,0.4615354938271604
1984年生	14.827697,0.4615354938271604
種牡馬繋養牧場	14.829993,0.4624421296296296
演芸	15.579952,0.48066611552028216
学研の玩具	14.99344,0.48464711934156374
かつて存在したアメリカ合衆国の企業	16.34485,0.527367862654321
日本の音楽	15.579952,0.5131923010973936
廃刊した文庫	15.191568,0.5075010716735254
日本の情報・通信業	15.202909,0.5113413065843622
イギリスの音楽プロデューサー	15.0273285,0.5083869170096021
2003年の映画	15.126101,0.5115554759455222
ワシントン・レッドスキンズ	30.334664,0.8689332561728395
1979年の映画	14.830467,0.5115554759455222
楽曲	15.289796,0.5277777777777778
競馬殿堂	15.0012665,0.5224822273662552
日本の女性声優	14.9816,0.5281631944444445
日本の男性声優	14.972572,0.5281631944444445
早期警戒機	14.875882,0.5259645061728395
女性の一覧	15.5979595,0.5451388888888888
NFLの一覧	15.5979595,0.5525028935185184
日本の歌手	15.753166,0.5573189943415637
ダラス・カウボーイズ	30.944625000000002,0.9147569444444443
1461年没	15.009387,0.5454778439153438
オリンピック競技	14.915764,0.5455150462962963
アメリカ合衆国の競馬	14.827152,0.5446566358024691
チアリーディングを題材とした作品	15.075741,0.5524994488536155
コンピュータゲームの周辺機器	15.421397,0.561584849215535
日本のスポーツチーム一覧	15.670021,0.5679526748971193
サンフランシスコ・フォーティナイナーズ	30.406233999999998,0.9130208333333333
薔薇戦争の人物	15.009387,0.5613618827160493
ロックフェスティバル	14.9344225,0.5653116732804233
日本のスポーツ組織	15.075905,0.5698543595679012
2002年のコンピュータゲーム	15.18744,0.572717862654321
野球リーグ	15.816114,0.5951842206790123
超常現象	15.191568,0.5813301366843033
現役中に死亡した競走馬	15.0012665,0.5872490578021332
高等学校を舞台とした漫画作品	15.075741,0.5951967592592592
市販清涼飲料水	15.484875,0.6101240997942387
かつて存在した日本の工業製品メーカー	16.199507,0.6270651455026455
超常現象を題材とした漫画作品	15.075741,0.6048059964726631
ドイツ系日本人	14.827697,0.6064887152777777
NYSE上場企業	16.34485,0.6545953360768175
過去のジャニーズ所属者	14.907083,0.6211033950617283
イギリスの音楽祭	14.9344225,0.6220829046639232
1949年のテニス	15.396239,0.640625
ゲームボーイアドバンス	15.421397,0.644198651834705
歌手	15.753166,0.6527777777777778
日本のスノーボード	15.075905,0.6376205632716049
ウェブコミック	15.075741,0.6463786972736625
昭和時代戦後の文化	14.99344,0.644874313622579
軍艦	14.900547,0.6434027777777778
バスケットボール	15.58664,0.6597222222222222
ザ・ドリフターズ	15.753166,0.6676189557613168
日本のバンド	15.038141,0.6510797110768175
ロックのアルバム	15.118591,0.6531035052910052
サッカー選手	14.827697,0.6472222222222223
イギリスのアルバム	15.118591,0.6548408564814814
書籍	15.191568,0.6612037037037037
アニメ	15.18744,0.6611284722222222
フィクションの吸血鬼	15.075741,0.6618820317092886
落語の団体	15.047726,0.6613989197530865
ルクセンブルクのサッカー	14.840603,0.6570216049382716
アルバム	14.987616,0.6610185185185186
サッカー	14.840603,0.6597222222222222
日本のアイドルグループ	15.016355,0.6645833333333333
継続中の作品	15.075741,0.6680555555555555
歴史	15.009387,0.6666666666666666
アイドル	14.907083,0.6666666666666666
インドのフリゲート	14.900547,0.6674537037037036
パラマウント映画の作品	14.830467,0.6706076388888889
ローラースケート	15.591509,0.6890239197530863
イギリスの岬	15.181618,0.6804783950617285
NHKの子供向け番組	15.943782,0.6989845127865961
ロンドン出身の人物	14.969587,0.677554070084824
ギャグ漫画	15.075741,0.6841679067460317
ニュー・オーダーのアルバム	14.987616,0.6908150077160493
ウェールズ史の人物	15.009387,0.6940641534391534
日本のホッケー大会	15.591509,0.7144476594650205
テューダー家	15.009387,0.7020636757789536
ホラー漫画	15.075741,0.7048061342592593
ボーフム出身の人物	14.827697,0.7002314814814814
日本選手権大会	15.591509,0.7192631172839505
アメコミ作品	15.075741,0.7073495370370371
日本のスポーツ番組	15.3263,0.7157500413359787
群馬県出身の人物	15.753166,0.7276363168724279
大阪府出身の人物	15.5906,0.7279256687242798
2002年のテレビアニメ	15.18744,0.7186833847736626
ドラマCD	15.2264595,0.7232262731481482
ニュー・オーダーの楽曲	15.289796,0.7295337148491083
スイスのオリンピック選手	15.062855,0.7268827160493827
福島県出身の人物	14.963426,0.7256687242798354
アメリカ合衆国のコメディ映画	15.126101,0.7297244405864198
愛知県出身の人物	14.9816,0.7276363168724279
ニンテンドーゲームキューブ	15.421397,0.7398963204089506
ヒューストン出身の人物	15.111657,0.7333333333333333
2008年のアルバム	15.320734,0.7441863854595336
スイスのオリンピック金メダリスト	15.062855,0.7386670524691358
1997年のアルバム	15.236873,0.7441863854595336
2005年のアルバム	15.2264595,0.7441863854595336
新潟市出身の人物	15.000338,0.7393004115226338
1992年のアルバム	15.118591,0.7441863854595336
アメリカ合衆国のオリンピック金メダリスト	14.878194,0.7394193672839506
ワーナー・ブラザーズの作品	15.126101,0.745765625
2002年のアルバム	14.963458,0.7441863854595336
コモドールのパーソナルコンピュータ	15.513838,0.7576949074074073
リコーダー	15.943782,0.7680555555555555
丸紅	15.58664,0.7600145747599452
日本のサーファー	15.304092,0.7543309542181069
アメリカ合衆国のアクション映画	14.830467,0.7458919753086419
メガドライブ用ソフト	14.99344,0.7579422743055555
渋谷区の企業	15.202909,0.7640248842592592
携帯電話アプリゲーム	14.99344,0.7601189300411523
ゲームボーイ用ソフト	14.99344,0.7604828703703703
FLASHアニメーション	15.18744,0.7653171514458406
1985年のアーケードゲーム	15.438835,0.7714358024691358
アメリカ合衆国の冒険映画	15.126101,0.7666381356554968
スイスのスノーボード選手	15.062855,0.7726787551440328
アメリカ合衆国の書店	16.34485,0.8049045138888888
アメリカ合衆国の騎手	15.031345,0.7750589420438957
ウィンブルドン選手権	15.396239,0.7836469356261022
1978年のアーケードゲーム	14.99344,0.7784766975308641
青二プロダクション	14.972572,0.7821765046296295
Wii用ソフト	14.99344,0.7867288966049382
日本のスノーボード選手	15.062452,0.7883444787379972
角川春樹事務所	15.191568,0.7922553369341563
ニンテンドーDS用ソフト	14.99344,0.7901163580246913
ヴァージン・レコードのアルバム	15.118591,0.7935943930041152
日本のサッカー選手	14.827697,0.78950760173754
小説を原作とする映画	14.830467,0.794181731334509
UPLのゲームソフト	15.438835,0.8114677469135801
1990年のアーケードゲーム	15.011011,0.8021867283950618
I-revoゲーム対応ソフト	14.99344,0.8022703317901234
ファミリーコンピュータ用ソフト	14.99344,0.8051937532150205
バーチャルコンソール対応ソフト	14.99344,0.8089437665343915
野球選手	14.9804125,0.8090277777777778
冬季オリンピックメダリスト	15.062855,0.8119116512345679
MSX/MSX2用ソフト	14.99344,0.8114917695473252
ポニーキャニオンのアルバム	15.2264595,0.817625171467764
1993年のシングル	15.289796,0.8211471193415637
ウォルター・ヒルの監督映画	14.830467,0.8119722222222222
かつて存在した日本のコンピュータゲームメーカー	16.199507,0.8441860939643347
アフリカ系アメリカ人のバスケットボール選手	14.878194,0.82544045781893
セガサターン用ソフト	14.99344,0.8287898148148147
ワンダースワン用ソフト	14.99344,0.8287898148148147
SG-1000用ソフト	14.99344,0.8287898148148147
獨協大学出身の人物	15.180843,0.8344714506172839
アメリカ合衆国の女子野球選手	14.9804125,0.8300582990397805
アルバータ州のスポーツ	15.427381,0.8407793209876544
専修大学出身の人物	15.153821,0.8349922839506173
吸血鬼漫画	15.075741,0.8356746031746032
現在活動していない東京都のスポーツチーム	15.58664,0.8494738082990396
ミシガン州の企業	16.34485,0.8688368055555555
アメリカ合衆国のオリンピック銅メダリスト	14.878194,0.838794045781893
PlayStation用ソフト	14.99344,0.841697974537037
スーパーファミコン用ソフト	14.99344,0.8443021412037037
ゲームキューブ用ソフト	14.99344,0.8443021412037037
ゲームアーカイブス対応ソフト	14.99344,0.8487860360939643
ナムコのゲームソフト	15.18744,0.8547002057613169
SIMPLEシリーズ	14.99344,0.8522591820987655
アメリカ合衆国の男子バスケットボール選手	14.878194,0.8507437414266118
ロサンゼルス・クリッパーズ	15.000338,0.8573032407407407
アメリカ合衆国代表のバスケットボール選手	14.878194,0.8566277649176954
ローファイ・バンド	15.129517,0.866724537037037
イングランドのサッカー選手	14.969587,0.868154435299497
北海道テレビ放送の番組	15.3263,0.8771296296296296
フジテレビ系アニメ	15.18744,0.8798229166666667
ダイドードリンコ	15.484875,0.8917341820987654
NESYS	14.99344,0.8907344907407406
ニューヨーク市を舞台とした映画作品	14.830467,0.8875988511659807
トヨタ自動車の人物	15.564964,0.9051660808184727
オーランド・マジック	15.052962,0.8947019675925925
オックスフォードシャー出身の人物	15.009387,0.8938400205761317
滋賀レイクスターズ	15.651885,0.9180049189814814
京都ハンナリーズ	15.132049,0.9066449116941014
IPhone用ゲームソフト	14.99344,0.9063036779835391
プログレッシブ・メタル・バンド	14.871609,0.9069444444444443
BSフジのテレビ番組	15.001083,0.9103009259259258
現在活動していない日本の男子バスケットボールチーム	15.58664,0.9268968621399176
ソニー・ミュージックレコーズのアーティスト	15.016355,0.9205246913580247
アメリカ合衆国のオルタナティヴ・ロック・バンド	15.129517,0.9232060185185185
北海道テレビ放送の深夜番組	15.3263,0.9302854938271605
国内の最上位サッカーリーグ	14.840603,0.9213779578189301
IPad用ゲームソフト	14.99344,0.9259546296296295
オリンピックバスケットボールアメリカ合衆国代表選手	14.878194,0.9237182784636487
サンディエゴ・チャージャーズ	15.000338,0.9286458333333332
アメリカ合衆国のインディー・ロック・バンド	15.129517,0.9346836419753085
スコットランドのタウン	14.858317,0.9360728982951205
アメリカ合衆国のヘヴィメタル・バンド	14.871609,0.9372685185185186
スコットランドのカウンシル・エリア	15.906142,0.9657671957671957
ワシントン・ウィザーズの選手	14.878194,0.9484664351851853
ロサンゼルス・レイカーズの選手	14.878194,0.95078125
Bjリーグ	15.670021,0.9738168724279834
スコットランドのヴィレッジ	15.181618,0.9657671957671957
ゴールデンステート・ウォリアーズの選手	14.878194,0.9594618055555555
リーズ	14.9344225,0.9625
サクラメント・キングスの選手	14.878194,0.96640625
バーミンガム・シティFCの選手	14.969587,0.9734182098765432
ダービー・カウンティFCの選手	14.969587,0.9746334876543209
FCチューリッヒの選手	14.827697,0.9722222222222221
アメリカ合衆国の独立リーグ	15.052301,0.9806455761316872
リヴァプールFCの選手	14.969587,0.9817515432098765
レディング	14.9344225,0.9828993055555555
スコットランドのカウンティ・タウン	14.858317,0.9833333333333334
ジェフユナイテッド市原・千葉リザーブズの選手	14.827697,0.9866736057527433
## IMINE2-J-015	マンチェスター
存命人物	651.9848450000001,
マンチェスター・ユナイテッドFCの選手	525.7486110000001,0.0
サッカー選手	377.745335,0.25850501687588107
イングランドのサッカー選手	399.30057,0.8526775215066794
マンチェスター	261.17231,0.8227353234470172
マンチェスター出身の人物	253.43504,0.8414951122038989
マンチェスター・シティFCの選手	252.67013500000002,0.961980333865853
サッカーイングランド代表選手	230.871657,0.9390813277161763
サッカー	191.840477,0.479636672217089
マンチェスターの建築物	214.547022,0.8953051906195335
コンピュータ史	126.34966,0.16906624434239906
イングランドのディストリクト	177.111689,0.9253165478002113
グレーター・マンチェスターの大都市バラ	177.111689,0.9707284097972393
イングランドの都市	155.884059,0.763522104159522
サッカーの賞	126.82771,0.47630597652231227
ノース・ウェスト・イングランドのシティ	155.884059,0.9147569444444446
