## IMINE2-J-001	cvs
オープンソース	241.53808900000004,
ウィスコンシン州を舞台とした映画作品	18.45078,0.5064123661915135
アメリカ合衆国の映画俳優	17.070452,0.5074265091619157
バンクーバー出身の人物	17.20028,0.5091680665402094
平松伸二	19.01686,0.513372679380287
サンディエゴ出身の人物	17.070452,0.5123937614311842
女子ボクシングの世界王者	17.508541,0.5149466797302924
格闘技	16.55798,0.5145399305555555
シェイクスピア俳優	17.905146,0.516234210816267
和歌山県出身の人物	35.766446,0.5381971341403332
人物	72.339964,0.5833333333333334
アメリカ合衆国のテレビ局	16.618744,0.5179275461774541
文人	35.26771,0.5442965534979424
メトロ・ゴールドウィン・メイヤーの作品	36.449706,0.5507176795544338
日本のノンフィクション書籍	19.35514,0.5307556034927898
アメリカ合衆国のテレビ俳優	17.070452,0.5286612207790352
大英帝国勲章ナイト・グランド・クロス	17.172081,0.5289941470883031
大阪市出身の人物	18.08355,0.5306430576989024
日本の自伝・回顧録	16.508593,0.5291414942976412
アメリカ合衆国のフィギュアスケート選手	17.798428,0.533243145907722
合唱曲	17.409542,0.533795941786056
社会民主党の人物	17.474796,0.5341175562931892
日本の小説家	17.789831,0.5349337486120616
アメリカ合衆国の伝記映画	35.60119,0.558751132934738
スウェーデンのフィギュアスケート選手	17.12091,0.5386832460370075
管弦楽曲	17.409542,0.5418279868545847
モンペリエ出身の人物	16.733334,0.5451484254861995
放送映画批評家協会賞	19.017252,0.5497548024272895
アカデミー賞	18.69581,0.5497548024272895
日本のボクシングトレーナー	18.41273,0.5494508799549769
全米映画俳優組合賞	18.395134,0.5497548024272895
ナショナル・ボード・オブ・レビュー	18.17831,0.5497548024272895
サンフランシスコ映画批評家協会賞	17.863153,0.5497548024272895
川崎市出身の人物	16.722836,0.5485824210216304
沖縄県出身の人物	17.789831,0.5500786986039329
宮崎県出身の人物	17.632282,0.5500786986039328
サテライト賞	17.260681,0.5497548024272895
ワシントンD.C.映画批評家協会賞	17.23554,0.5497548024272895
千葉県出身の人物	17.474796,0.5518528439767713
在日韓国・朝鮮人	18.08355,0.5529490571053476
アメリカ合衆国の歴史映画	17.49111,0.5529212015311089
青森県出身の人物	16.556202,0.5518528439767714
チャイコフスキー	16.808468,0.5523150348324074
横浜市出身の人物	17.477879,0.5559371708903834
ボクシング解説者	18.41273,0.5574632727533371
キャッスル・ロック・エンターテインメントの作品	18.45078,0.5577739615483538
ベースボール・マガジン社の人物	17.78409,0.5596988513654312
スウェーデンのオリンピック選手	17.12091,0.5600471797617659
出身別の人名一覧	69.729834,0.625
フィギュアスケート国内選手権	17.407951,0.5615074821767297
バイエルン王女	16.754826,0.5611252750458607
岡山市出身の人物	17.178888,0.5632452655845147
冬季ユニバーシアードにおける各競技	16.64208,0.5626918752009389
イギリスの枢密顧問官	16.962507,0.5634942841266312
カリフォルニア州の人物	34.310559999999995,0.5864978056492278
ミュージカル映画	16.719685,0.5750515522355955
スーパージャンプ	19.01686,0.5842463675477013
沖縄女子短期大学の教員	17.789831,0.5844129615787179
ドイツ帝国の元帥	17.172081,0.58374453682171
吉本興業	16.722836,0.583775527015302
フライ級世界王者	16.903364,0.5864892779063785
日本のボクサー	35.591618,0.6132737514275748
ダルタニャン物語をベースとしたフィクション作品	17.49111,0.596600485893965
マック・ボラン	18.322634,0.6020312852158052
アメリカ合衆国のボクサー	33.417696,0.6224493297041344
カナダ総督	17.172081,0.6041220967244959
ザクセン＝コーブルク＝ゴータ家	17.172081,0.6048870409521734
NHKのテレビドラマ	18.045952,0.6111611202476239
ウェールズの俳優	17.021534,0.6098911018626267
フィギュアスケート選手	17.798428,0.6118082682291667
ユナイテッド・アーティスツの作品	17.49111,0.6122248370609711
インディアナ州の人物	18.611418,0.615722890141093
イングランドの俳優	17.905146,0.6162455759177934
テキサス州の人物	17.23554,0.615722890141093
オクラホマ州の人物	16.747417,0.615722890141093
日本の騎手	16.556202,0.6225947625997886
ノルディクス	18.464003,0.6256986485717239
日本のキックボクサー	16.55798,0.6252520956693393
対戦型格闘ゲーム	16.981493,0.6270491173178728
オーストラリアのボクサー	18.258434,0.6307459231422208
ボストンを舞台とした作品	18.322634,0.6363626318952269
日本の閣僚経験者	17.03078,0.6358213041998885
選手強化キャンペーン	16.55065,0.639641560928212
小説を原作とする映画	18.11008,0.6482968717010936
新宿区の企業	16.55065,0.6519841462274709
アメリカ合衆国のサスペンス映画	36.560860000000005,0.6836558322482638
日本のハンドボール選手	17.178888,0.6814690668134861
ニュージャージー州の人物	17.44522,0.6831121037487139
ロッキー	18.339626,0.6890077849534613
シティ・オブ・ウェストミンスター出身の人物	16.685734,0.6887233413048621
世界ボクシング評議会世界王者	17.508541,0.6902266898449556
シルヴェスター・スタローンの監督映画	18.339626,0.69249697928723
ジョン・フランケンハイマーの監督映画	18.11008,0.69249697928723
エルガーの楽曲	17.409542,0.6947580174731903
虎ノ門	16.849274,0.6944269132051611
バイエルン王家	16.754826,0.698024643488118
ウルトラシリーズゲーム作品	16.981493,0.6988280153251295
明治大学出身の人物	17.789831,0.7013141075102881
ショウタイム	16.618744,0.703246485530398
スポーツに関するノンフィクション	19.35514,0.7095073689276299
中央大学出身の人物	17.474796,0.7098757279193576
拓殖大学出身の人物	17.03078,0.7098757279193576
毎日新聞社の人物	17.78409,0.7145542243236946
フィラデルフィアを舞台とした映画作品	18.339626,0.7265851255220495
日本の女子ボクサー	16.722836,0.724510163361138
バンダイのゲームソフト	16.981493,0.7320886355669038
イタリアの女子ボクサー	17.508541,0.7384540485631722
メキシコ系アメリカ人のボクサー	16.514332,0.7566902294543426
ダービー出身の人物	17.905146,0.7749114599520067
東京都港区の一般社団法人	16.849274,0.7863443580910012
テレビ番組	16.849274,0.7928546024805668
ヴィッテルスバッハ家プファルツ系	16.754826,0.7938006406019626
ロサンゼルスを舞台としたテレビドラマ	17.474796,0.7970398570180687
ラスベガスを舞台とした映画作品	18.339626,0.8017230824386843
地方競馬全国協会の騎手	16.556202,0.8024423862044789
ISUチャレンジャーシリーズ	17.885727,0.8150451074911699
自由民主党の衆議院議員	17.03078,0.8385762579065691
アレクサンドル・デュマ原作の映画作品	17.49111,0.854278014869007
アングルシー島出身の人物	17.021534,0.8555165160199882
自由民主党の参議院議員	17.03078,0.8572072426078342
スケートアメリカ	16.542068,0.8625069162633998
そごうの人物	18.735666,0.8859821277601545
全国区選出の参議院議員	17.03078,0.9344421135545267
和歌山県選出の衆議院議員	17.03078,0.9845679012345679
曖昧さ回避の必要なリンクのあるページ	17.474796,1.0
## IMINE2-J-026	一人暮らし
漫画	668.5033810000001,
存命人物	70.340738,0.0070879629629629634
社会問題	48.818323,0.017936616958876314
恋愛アドベンチャーゲーム	161.07071399999998,0.12287617728139627
1980年代	25.495245,0.16254956744123586
食品	24.044704,0.21232917076964525
外食産業	24.044704,0.22569506451942417
社会心理学	25.664827,0.23248305326931867
労働問題	23.236883,0.24612758559099218
美少女ゲーム	255.732843,0.43160965019804587
2000年没	22.964226,0.2975672922837294
1900年生	23.774595,0.30315789084592626
集合住宅を舞台とした作品	24.329895,0.3037929809020123
誘拐を題材とした作品	22.803268,0.30438340192043895
2004年没	47.591998000000004,0.3222445511036025
1890年生	46.92595,0.3342662409832529
1991年没	23.774595,0.3222445511036025
1945年没	23.707924,0.3222445511036025
2002年没	23.462975,0.3222445511036025
2006年没	23.462975,0.3222445511036025
1995年没	22.666092,0.3222445511036025
アメリカ合衆国の人物	23.462975,0.3235360373240499
1996年生	24.05043,0.32783514966579935
1987年生	23.407541,0.32783514966579935
1972年生	22.882767,0.32783514966579935
1931年生	22.666092,0.32783514966579935
オランダの政治家	22.882767,0.329644912652016
1889年生	24.129023,0.3342662409832529
1865年生	23.707924,0.3342662409832529
1887年生	23.462975,0.3342662409832529
1885年生	22.964226,0.3342662409832529
学園漫画	68.11209,0.36285597425305566
恋愛漫画	187.50292100000001,0.43527010244084463
LGBT作品	47.240848,0.35043752464795225
2007年の舞台作品	22.349632,0.3359950377582053
芸妓	22.666092,0.33737252482960434
2014年の映画	45.594035,0.35128390500352014
2010年の小説	25.511269,0.343856020879815
2012年の小説	23.707924,0.3429350927878966
2011年の小説	23.348303,0.3429350927878966
1992年の小説	22.72815,0.3429350927878966
2006年の小説	22.39116,0.3429350927878966
1988年の小説	22.349632,0.3429350927878966
2009年の小説	23.271755,0.343856020879815
2000年の小説	22.803268,0.34544096356053205
インセストを題材としたフィクション作品	22.922245,0.3463609779810124
1974年の映画	22.60278,0.35128390500352014
アダルトゲーム	232.64349099999998,0.4785721213812044
ウォルマート	22.434841,0.36391147440843624
キャラクター	24.254257,0.36683796296296295
2011年の映画	24.129023,0.3669341464895487
2008年の映画	22.964226,0.3669341464895487
日本の医学者	23.707924,0.36872156222084396
東京都出身の人物	22.666092,0.36840187713552686
教師と生徒の恋愛を扱った作品	46.658235000000005,0.3831076674694505
集合住宅を舞台とした漫画作品	72.39666199999999,0.39994445578313303
コマーシャルソング	23.030766,0.3810026485719929
2000年のアニメ	24.82987,0.3877340714065142
義兄弟姉妹の恋愛を扱った作品	24.329895,0.39080469908571563
継続中の作品	185.576056,0.4891071357716089
1997年のコンピュータゲーム	23.707924,0.4072912435849868
2007年のコンピュータゲーム	22.75719,0.4072912435849868
San-Xキャラクター	24.254257,0.4085877002320449
食材宅配サービス	24.044704,0.40960984125931593
中国	23.236883,0.41017622551548
日本の小説	67.54406,0.4396668195520229
大学を舞台とした漫画作品	24.146667,0.4143363534672083
日本の舞台作品	22.349632,0.4160182063170561
日本の小児科医	23.707924,0.4191845709146789
日本のアイドル	24.05043,0.42115245772694465
社会問題	72.055206,0.45154568290832553
旧ロシア植民地	47.405644,0.4379974004333631
高等学校を舞台とした漫画作品	23.271755,0.424791047464229
集合住宅を舞台としたテレビドラマ	23.045654,0.42561346855365406
テレビ番組	120.87896800000001,0.48585928053163147
集合住宅を舞台とした映画作品	23.030766,0.42721998551039975
日本の歌手	22.666092,0.42773030146602414
双子を題材とした漫画作品	23.407541,0.4312108463105464
2000年の小説の短編集	22.803268,0.43412474413351604
NHKの福祉番組	23.462975,0.43520415643491334
1996年のテレビドラマ	23.707924,0.43957015789142534
2005年のテレビドラマ	23.045654,0.43957015789142534
2007年のテレビドラマ	22.803268,0.43957015789142534
1990年のテレビドラマ	22.75719,0.43957015789142534
2012年のテレビドラマ	22.72815,0.43957015789142534
中華人民共和国	23.236883,0.44703017710772897
西脇唯のアルバム	24.129023,0.44817052645143296
人物	47.903618,0.46320713305898487
演劇漫画	23.891998,0.45065369002572236
クロックワークス	22.964226,0.4502679107085871
文学	68.424655,0.4797049287863019
4コマ漫画	69.547889,0.48212214080055027
アキバ系アイドル	24.05043,0.45876636636189905
アイドル	47.457971,0.4820601851851852
サイバーフロントのゲームソフト	22.75719,0.46994922930900357
インターネット	23.756931,0.4728067506803887
映画	45.527495,0.48760156675538746
コンピュータゲーム	23.707924,0.47467148317688695
アドベンチャーゲーム	45.306124999999994,0.4903088562847909
アメリカ合衆国	22.666092,0.4767445927223842
アメリカ合衆国のビーチリゾート	22.666092,0.4781753281636331
歌手	22.666092,0.47857349537037036
小沢真理	50.253878,0.4971571223932817
やおい漫画	23.536041,0.4812404271039162
ロマンティック・コメディ	23.407541,0.4818256709630462
帝国学士院会員	23.707924,0.48295694271964734
シングル	28.58463,0.48868754151041816
女装漫画	24.146667,0.4862274438238944
ギネス世界記録保持者	46.427201,0.5
アニメ	24.82987,0.4880377095526458
アルバム	24.129023,0.48779130668535486
ドラマCD	92.49527,0.5337185276277435
韓国の歌手	23.407541,0.500599305231821
岡崎京子	25.495245,0.5062595559788666
山川純一	25.477959,0.5062595559788666
冬目景	24.044704,0.5062595559788666
末次由紀	24.02146,0.5062595559788666
いくえみ綾	23.573837,0.5062595559788666
わかつきめぐみ	23.542538,0.5062595559788666
施川ユウキ	22.75719,0.5062595559788666
河下水希	22.417297,0.5062595559788666
労働	23.236883,0.511574074074074
つんくが制作した楽曲	28.58463,0.5188009993941697
NHK紅白歌合戦出演者	22.666092,0.5152246706932249
ギャグ漫画	45.09303,0.5334825703739458
Shusuiが制作した楽曲	23.030766,0.5188009993941697
タイムトラベルを題材とした漫画作品	23.271755,0.5196185319346377
プエルトリコの人物	24.129023,0.5231485609769968
京都大学の教員	23.707924,0.5306309868211578
育成シミュレーションゲーム	23.707924,0.530871249865084
長寿世界一の人物	70.556224,0.5625
SF漫画作品	23.271755,0.5369063830741033
恋愛ドラマ	22.72815,0.5382498465058914
テゴマスの楽曲	23.030766,0.5384746506302445
日本のドラマ映画	22.563269,0.5387422695555858
ドイツのドラマ映画	22.60278,0.5394847930698891
ライデン出身の人物	22.882767,0.5397355008706174
アメリカ合衆国のドラマ映画	22.964226,0.5404031077014033
Zoppが制作した楽曲	23.030766,0.5410822075737848
長崎県出身の人物	24.05043,0.5434343151686488
まんがタイムきららフォワード	27.016264,0.5474580233294395
佐賀県出身の人物	23.774595,0.5481480681074975
三重県出身の人物	23.707924,0.5490219240129766
テレビ朝日系番組	28.564932,0.5542940116595103
漫画を原作とする映画作品	23.030766,0.5536743402917998
食文化	24.044704,0.5572916666666666
アラスカ州の都市	23.702822,0.5604332318369198
1996年のアルバム	24.129023,0.562043361283505
日本の恋愛映画	24.129023,0.5650037329500426
ヤングチャンピオン烈	22.75719,0.5650767072218192
まんがタイム	46.867479,0.5833668146469191
2003年のアダルトゲーム	69.823219,0.6151265718970883
月刊フラワーズ	46.039047,0.6146920370039607
アメリカ合衆国の恋愛映画	22.964226,0.5987536947034406
日本のアクション映画	22.563269,0.5997791640988179
女性漫画雑誌掲載漫画	25.495245,0.6025498794664971
地球外生命体を題材とした漫画作品	25.294943,0.6048521555713052
2000年のアダルトゲーム	48.612306000000004,0.6249226446462048
月刊アフタヌーン	23.094181,0.6045391455126499
ロンドンを舞台とした映画作品	22.964226,0.6047330747126128
スーパーセンテナリアン	46.92595,0.625
漫画短編集	46.977953,0.6262758455504115
モバMAN	24.146667,0.6079816033617208
Cookie	51.345939,0.6321434896049255
東京の花街	22.666092,0.6110085916900052
別冊フレンド	47.989701,0.632524650070479
2ちゃんねるカテゴリ	23.756931,0.6130676830724573
ミシガン州の人物	23.462975,0.6128645915554508
ミシシッピ州の人物	23.462975,0.6128645915554508
メイン州の人物	23.462975,0.6128645915554508
BE・LOVE	24.02146,0.6137647752753539
ガンガンONLINE	22.749323,0.6128707798220944
性表現を含む表題のアドベンチャーゲーム	23.094181,0.6141463891271447
花とゆめ	23.366453,0.6156266676743926
2009年のアダルトゲーム	22.522835,0.6153326017058263
東映製作の映画作品	45.594035,0.6349127459238451
ミステリーDX	22.32834,0.616757991559033
別冊少年マガジン	23.271755,0.6182557315448558
Mimi	22.349632,0.6175527635439246
CLAMPの作品	22.32834,0.6197658317995005
まんが4コマぱれっと	22.68041,0.6229238378504371
ライブアイドル	24.05043,0.6257149402006171
架空のネコ	24.254257,0.6281975234601614
Kiss	25.294943,0.6296836588690509
LaLa	23.542538,0.6299509607986454
2010年のアダルトゲーム	23.094181,0.6306532920084591
ユニバーサルミュージックジャパンのアーティスト	23.407541,0.6342086454582476
別冊マーガレット	23.573837,0.6346802377762404
オリコンシングルチャート1位獲得作品	23.030766,0.6343351333680958
キングレコードのアルバム	24.129023,0.6372074826546414
ボクシング漫画	23.891998,0.6390286083247598
2004年のアダルトゲーム	22.956493,0.638490461962782
2008年のアダルトゲーム	22.922245,0.638490461962782
2011年のアダルトゲーム	22.712212,0.638490461962782
ザ花とゆめ	24.893925,0.6403450805828368
2007年のアダルトゲーム	22.475609,0.638490461962782
NHKの帯番組	23.462975,0.640554370853963
テレビ朝日製作の映画	23.030766,0.6413674909261255
日本の推理小説	22.72815,0.643958456111066
デザート	22.56201,0.6448869474324785
℃-uteの楽曲	28.58463,0.650153575219888
月刊ドラゴンエイジ	23.407541,0.6516084627358442
成人向けOVA	45.306124999999994,0.6714792924238692
コミックブレイドMASAMUNE	24.129023,0.6665291999646686
2013年のシングル	28.58463,0.6731891466042262
ホリプロのテレビドラマ	22.803268,0.670425803848703
超能力を題材とした漫画作品	23.271755,0.6721280463576859
小説を原作とする舞台作品	22.349632,0.6733150949390756
DVDPG	47.473587,0.6956517333649249
週刊ヤングマガジンの漫画作品	22.430824,0.6814412306094072
週刊ヤングジャンプの漫画作品	23.891998,0.6830656259846001
読売テレビ製作の映画	22.563269,0.6868430842699089
ビッグコミックスピリッツの漫画作品	24.044704,0.6900453421213539
2006年のシングル	23.030766,0.6896639029505024
東京大学出身の人物	23.707924,0.6950678454545561
北海道を舞台とした作品	22.72815,0.7043547236633884
週刊少年ジャンプの漫画作品	22.417297,0.7079825371821398
よしもとばなな	22.349632,0.7123681877286234
ドリームキャスト用ソフト	23.143692,0.715355513145023
オレゴン州の都市	25.146276,0.7193570184142737
テレビ朝日の深夜ドラマ	22.803268,0.726049844875257
アリスソフトのゲームソフト	23.707924,0.7380425647514074
モンタナ州の都市	24.12043,0.7452088581184627
プリンセスソフト	23.143692,0.749710372471297
カンザス州の都市	23.37573,0.7507877001350307
アラスカ州の国勢調査指定地域	23.702822,0.7516466380931711
HJ文庫	23.348303,0.7521519750397313
サウスカロライナ州の都市	22.666092,0.7516466380931711
アーカンソー州の都市	22.434841,0.7516466380931711
アラバマ州の都市	22.434841,0.7516466380931711
NHKの地域発ドラマ	22.72815,0.7569996328525885
日本の推理小説のシリーズ	22.43695,0.7674413615969364
秋葉原を舞台としたコンピュータゲーム	23.094181,0.7779671629556993
TBS金曜9時枠の連続ドラマ	22.75719,0.7847649552040464
NHK夜の連続ドラマ	23.045654,0.7879829342937114
日本のロマンティック・コメディ映画	23.030766,0.7907445945481983
スタッフォードシャー出身の人物	22.964226,0.7941731435935355
カリフォルニア州の国勢調査指定地域	48.225128,0.8234648834912267
月刊Asukaの漫画作品	23.536041,0.826788954048872
NHK札幌	22.72815,0.8265584691679527
有栖川有栖	22.72815,0.8277412738983195
岩手県を舞台とした作品	23.271755,0.8373285992155349
群馬県を舞台とした作品	22.72815,0.8373285992155349
大阪府を舞台とした作品	22.430824,0.8373285992155349
電撃文庫	25.511269,0.8416223714974138
刑事・雪平夏見シリーズ	22.43695,0.8412785334936677
戯画	22.522835,0.8419617939100367
プレミアムドラマ	22.72815,0.8458174926590364
ネブラスカ州の村	25.333185,0.8488367603443289
カンナシリーズ	23.271755,0.8495131848589201
ウェストバージニア州の郡	25.731752,0.8575223671789295
ドラマ30	23.707924,0.8737375358746018
文学	48.859572,0.9004629629629629
乙一の著作	22.803268,0.8848885014137017
アトリエかぐやのゲームソフト	24.329895,0.8903558388601067
角川スニーカー文庫	22.803268,0.9055137111696959
あらすじの作成が望まれている作品記事	46.183533,1.0
## IMINE2-J-027	テレビ
テレビ	4141.546530000006,
テレビ番組	989.5032717999998,0.103683417470489
映画	518.517208,0.255783384483078
流通	188.551712,0.10373907356502915
生活	141.41378400000002,0.08682102557325104
放送	282.827568,0.18032736063309168
映像技術	329.965496,0.23243067562413164
光学	47.137928,0.14183490461084983
日本の放送	188.551712,0.21999877821636799
ISO	47.137928,0.15463848284381249
メディア問題	235.68964,0.24724752255277396
通信工学	47.137928,0.16158642865464248
無線	94.275856,0.1884186921296296
情報機器	94.275856,0.20504614363863521
ラジオ	94.275856,0.2076043134562295
放送の視聴	94.275856,0.21077035479260703
放送関連の職業	47.137928,0.1922535379250707
依存症	47.137928,0.19250069879878753
鉄道車両	47.137928,0.19525198147473388
スポーツメディア	47.137928,0.195795109241962
エポニム	47.137928,0.1970475727961272
通信	47.137928,0.19865193437003073
デジタル放送	141.41378400000002,0.2439533570437793
ジャーナリスト	47.137928,0.2013283760920618
1968年設立の企業	47.137928,0.2025125467219888
夜	47.137928,0.20256929604742985
放送関連一覧	47.137928,0.2045753261249281
光学機器	47.137928,0.20572916666666666
流行語	94.275856,0.23399567112519992
子供	47.137928,0.21339666958598474
アニメ	188.551712,0.28382117939873847
テレビ番組	94.275856,0.23924081824963872
消防	47.137928,0.21906764603300696
有線通信	47.137928,0.22045302319101504
侮蔑	47.137928,0.22129772889753377
新聞	47.137928,0.22241676494337154
ビデオ	94.275856,0.2473398115344426
アンテナ	47.137928,0.22634454102902096
調査	47.137928,0.22859134663266706
画像処理	94.275856,0.25297605066481027
鉄道のサービス	47.137928,0.23229924888585643
テレビ受像機	141.41378400000002,0.2768315945250532
ガラス	47.137928,0.23460904345100309
放送局のマスコット	47.137928,0.23537977068865737
雑誌	47.137928,0.23649394749972488
1981年創刊の雑誌	47.137928,0.23668028907599514
声優	47.137928,0.23776480478673223
コンピュータの利用	47.137928,0.2401988961784739
ケーブルテレビ	94.275856,0.26661684047177053
撮影技術	47.137928,0.24537860406052678
信号処理	47.137928,0.24573209044693844
情報社会	47.137928,0.24623419212962963
テレビ局	47.137928,0.24991000594778803
日本関連一覧	31.1652856,0.24386161307769819
ラジオ・無線の雑誌	47.137928,0.2524698508487208
作品	94.275856,0.2747518678753726
編集	47.137928,0.2544320816469772
メディア関連の職業	47.137928,0.2566865120956218
ディスプレイ技術	141.41378400000002,0.30110046847852073
映画作品	94.275856,0.27923219685424533
加工	47.137928,0.25751533514580116
日本の文化	47.137928,0.2608260028879617
登録商標	94.275856,0.28356102423750434
1968年生	7.7959843,0.24851699547694225
アメリカ合衆国の文化	47.137928,0.2670609576831847
オーディエンス	47.137928,0.2695807028902261
福祉用具	47.137928,0.27483661191180425
ノイズ	47.137928,0.2815496787858365
日本の雑誌	47.137928,0.28379890651266054
メディア接触	47.137928,0.2864779991861148
参考図書	47.137928,0.2867814564934359
アニメ製作の手法と役職	47.137928,0.28691977346879155
統計	47.137928,0.28787075036634646
デジタルテレビ	94.275856,0.31043392259571795
弁当	47.137928,0.29128656010132536
映画映像の用語	94.275856,0.31407768717468343
聴覚障害	47.137928,0.29240774710041784
航空	47.137928,0.2932482944940986
プログラミング言語	47.137928,0.2966022489756111
パソコンの周辺機器	47.137928,0.29896682346424547
英語のスラング	47.137928,0.3018645537007948
放送のウェブサイト	47.137928,0.30205798458904803
風俗	94.275856,0.32543629402644014
テレビ技術会社	15.59193,0.2928355417498205
テレビ番組一覧	15.5794965,0.29403225299582725
架空の人物の一覧	47.137928,0.3124568640104951
野球用語	47.137928,0.31660876144085903
1980年代のテレビ番組	7.7935,0.3011274899146272
オリジナルビデオ	47.137928,0.3258484052214166
フリーウェア	94.275856,0.3518524040576833
P2P	94.275856,0.3646656963617973
プリペイドカード	47.137928,0.352625761055652
第二次世界大戦後の昭和時代	47.137928,0.3554088862224747
日本の演出家	7.7959843,0.34254525811256853
娯楽	94.275856,0.3850469575131913
映画	282.827568,0.4750414705971154
地上デジタル放送推進大使	47.137928,0.36563549968543374
ソーシャル・ネットワーキング・サービス	47.137928,0.3687452762117452
精神医学	47.137928,0.3825836478562825
野球に関する記事	47.137928,0.3886242005613188
健康	94.275856,0.4115502037105835
貸与	47.137928,0.3919270833333333
インターネットテレビ局	94.275856,0.41448809326391
航空	47.137928,0.3934963208839269
離れ	47.137928,0.40300781249999995
工学	141.41378400000002,0.45600907841435184
日本の電気機器メーカー	47.137928,0.4138392047357422
コンピュータ	141.41378400000002,0.4625054253472222
ヘリコプター	47.137928,0.41777011287475824
和製英語	47.137928,0.4182272272679355
日本のテレビ番組	7.7888565,0.4050109743641359
日本の歴史	47.137928,0.4249316274880687
手話番組	47.137928,0.42569924607291654
所ジョージ	7.789955,0.4113010049427113
テレビドラマ	94.275856,0.453656275417361
日本文化	47.137928,0.43284784637381396
放送局	94.275856,0.4619174846439537
AV機器	94.275856,0.46331823568918934
日本のBS放送	94.275856,0.46656611599141756
料金システム	94.275856,0.4753015997691214
心理学	47.137928,0.4580141420717593
声優	47.137928,0.4609484292435439
鉄道	47.137928,0.4628711660879629
エレクトロニクス	47.137928,0.4664070406987743
経済	47.137928,0.468914372727159
Javaプラットフォーム	47.137928,0.47096575773442095
書籍	47.137928,0.471513356922968
インターネット	47.137928,0.4728067506803887
野球	47.137928,0.47411598035652197
キャラクター	47.137928,0.47724024162414574
日本のテレビドラマ	23.376429100000003,0.4656240624132455
ラジオ番組	47.137928,0.47784380300262413
映像編集・合成ソフト	47.137928,0.47812007414233826
ビートたけし	7.786912,0.46159254280876455
年代別のテレビ番組	7.7959538,0.46398218870227115
テレビドラマの一覧	23.376429100000003,0.4744943992714474
日本の衛星放送史	47.137928,0.4896534740587693
テレビのニュース・報道番組	7.79064,0.4724644380389473
日本のケーブルテレビ	47.137928,0.49305907054123715
アダルトビデオ	94.275856,0.5172474522433493
企業	47.137928,0.5031912771468299
教育	47.137928,0.515942985628858
食文化	47.137928,0.5160407942574373
日本郵政グループ	7.7935,0.49602794510496107
テレビマンユニオン	7.7935,0.5058929389137797
日本のオリジナルビデオ	47.137928,0.5376593845303446
小田急グループの歴史	47.137928,0.5417132441691745
日本テレビの歴史	47.137928,0.5559740505608872
ニコニコ動画	47.137928,0.5739324586974046
近鉄グループの歴史	47.137928,0.5749796627845293
京阪グループの歴史	47.137928,0.5749796627845293
京成グループの歴史	47.137928,0.5749796627845293
パナソニックグループの歴史	47.137928,0.5749796627845293
日本放送協会の歴史	47.137928,0.5848229602372792
JRグループの歴史	47.137928,0.6020582088591975
三才ブックス	47.137928,0.6233773959289652
テレビドラマ・時代劇放送枠	7.786956,0.6048804377353463
フジテレビの情報・ワイドショー番組	15.58296,0.6206827085603818
渋谷区の企業	7.800802,0.6158470633819723
テレビ東京の情報・ワイドショー番組	7.7935,0.6200947191683868
ウィキペディア	47.137928,0.6611450571168912
人物	47.137928,0.6904320987654321
日本テレビのテレビドラマ	7.786956,0.6603999997618505
明治学院大学出身の人物	7.7959843,0.6625442637457345
新宿区の企業	7.791128,0.673236505067974
町田市の企業	47.137928,0.7221226527227801
テレビ東京の一社提供番組	7.7935,0.7366281398359803
フジテレビの一社提供番組	7.7935,0.7374217795540767
教育	47.137928,0.7838541666666666
日本テレビの冠番組	15.576867,0.7678664693112889
テレビ東京のクイズ番組	7.7935,0.7794400787392274
フジテレビのトーク番組	7.786344,0.7808735105552026
フジテレビのクイズ番組	7.7935,0.7824554173890539
日本テレビ火曜10時枠の連続ドラマ	7.786956,0.7850170492838838
Java仮想マシン	47.137928,0.8312584394290122
インターネット	47.137928,0.8609375
テレビ番組	62.711184,0.9027777777777778
関西テレビの情報・ワイドショー番組	7.78946,0.8575665509259259
日本テレビのバラエティ番組	15.576867,0.8643856095679011
三菱電機の歴史	47.137928,0.8913899739583333
フジテレビの冠番組	7.786344,0.8737252507046254
暫定的な記事名を使用しているページ	94.275856,1.0
中止	94.275856,1.0
存命人物	7.7959843,1.0
## IMINE2-J-028	阪神タイガース
阪神タイガース	4550.912679999991,
野球	713.7115200000002,0.16778160236250744
造園	44.60697,0.1459210431134259
試験	44.60697,0.21889329765107024
人間の移動	44.60697,0.2211627966848772
野球に関する記事	847.5324300000003,0.38799433139125994
ファンダム	44.60697,0.2709495807369703
人物の愛称	44.60697,0.2754574196838104
8月	44.60697,0.30955540111063284
名数3	44.60697,0.355990839474132
ユニフォーム	223.03484999999998,0.3889240813238179
日本のサービス業	44.60697,0.367485926247428
1935年設立の企業	134.82265,0.3830489938516558
スポーツ新聞	89.21394,0.38083459055628527
メインベルトの小惑星	44.60697,0.3894016590104584
日本人の発見した小惑星	44.60697,0.3894298460821656
ホームレスを題材にした作品	44.60697,0.3894510479733803
発売中止となった作品	44.60697,0.38958486100394374
テレビ番組	579.89061,0.47411598035652197
1978年創刊の雑誌	44.60697,0.434999656490361
双葉社の漫画を原作とするアニメ作品	44.60697,0.44102819476586375
野球のメディア	44.60697,0.4455796717980691
野球博物館	44.60697,0.44629510134614214
日本の暴力	44.60697,0.45055496469186573
企業	44.60697,0.45126583304085577
1974年の小説	44.60697,0.45206164619089795
