## IMINE2-J-001	cvs
2007年の音楽関連の映像作品	15.89996,78.58678743662824
日本のドラマ映画	15.461062,78.67669554682756
日本のAV女優	15.461062,79.32964357091664
茨城県出身の人物	16.911987,81.77499717208256
1990年のアルバム	16.911987,82.44867824780671
室内楽	15.805475,81.76435730112567
宮城県出身の人物	16.498035,83.39371204083199
チェロ協奏曲	16.618786,84.12023411525257
日本のクレジットカード事業者	17.705261,86.21746185096525
マイアミ出身の人物	16.20042,84.75245462847673
宮崎県出身の人物	16.25748,85.39670604036009
ライブ・ビデオ	15.89996,85.60436724258103
2008年のアルバム	16.403997,86.88625499238037
熊本市出身の人物	15.844397,86.65668271445364
1999年のアルバム	16.176851,88.00286242417477
1972年のシングル	18.531832,92.11009142976818
未発売のアダルトゲーム	16.509953,90.02157094048864
1996年のアルバム	15.848698,89.6994041804781
1998年のアルバム	15.844397,90.26458214342917
高知県出身の人物	15.461062,90.29015881436793
1991年のアルバム	15.776752,91.3718049378917
アメリカ合衆国のコメディ映画	15.962769,92.31948279715921
山口県出身の人物	15.473412,92.13672628472537
埼玉県出身の人物	15.461062,92.68835997890838
小説のスピンオフ作品	15.461062,93.28123249075252
レクイエム	15.461062,93.9182126934587
日本のフォークシンガー	15.723887,95.00086688365462
東京都港区の企業	16.186092,96.38933009117876
アメリカ合衆国のテレビ映画	15.572096,96.09422275771423
R&B・バラード	18.322952,101.12588146732705
アメリカ合衆国のオムニバス映画	15.572096,97.63921633645127
オンタリオ州の人物	15.977106,98.84675843503658
イギリスの恋愛映画	16.2044,99.80634814407883
アメリカ合衆国の恋愛映画	16.034893,100.44784551077053
イギリスのファンタジー映画	16.2044,101.5239923837451
立教大学出身の人物	15.5453,101.06363693765601
オレシニツァ公	15.673334,102.367357940315
アメリカ合衆国のLGBT関連映画	15.572096,102.98556770715908
カナン神話の神	16.291462,104.84686468673341
20世紀フォックスの作品	17.220528,106.98525163281577
ロックフェラーセンター	16.74134,106.82478616190576
イリノイ州の人物	15.555002,106.37765693725254
MAGES.のアーティスト	16.25748,108.91647725427119
小説野性時代	15.461062,108.19418224938256
桜田淳子の楽曲	15.461062,109.46767263278007
日本の恋愛小説	15.461062,110.10581029753182
ポニーキャニオンの楽曲	15.844397,111.44188137314418
ミラマックスの作品	15.5959,111.804022438096
ユニコーンのアルバム	16.911987,114.75929553095735
2009年のシングル	15.89996,113.73923346304137
オリコンアルバムチャート1位獲得作品	16.911987,116.4125619985953
北海道の深夜テレビ番組	15.706422,114.93784484963294
イギリスのスリラー映画	16.2044,116.69655680681666
ローマ地下鉄	16.285997,117.61801404295586
月刊Gファンタジー	16.019432,118.07121589920979
ビーボ	15.723887,118.17049936090764
ファンタジーコンピュータゲーム	16.509953,120.38382178702884
ジャニーズ関連楽曲	15.844397,120.52512247550447
小説を原作とする映画	16.034893,121.86538683600155
2011年のシングル	15.844397,122.45736115164641
2012年のシングル	15.844397,123.11897658637034
ニール・ジョーダンの監督映画	16.2044,124.44381055261348
ニュージャージー州の人物	16.20042,125.20755933476597
2002年のシングル	16.618786,126.84532572400639
産業技術総合研究所の人物	16.498035,127.56969138664566
フォーレの楽曲	16.618786,128.48415150703548
1979年のシングル	15.461062,127.10059978831889
ロシアのバレーボールクラブ	15.473412,127.98340195613343
ニューヨーク州の人物	15.746326,129.20973584920932
オランダのヘヴィメタル・バンド	16.034893,130.7906504729515
東京を題材とした楽曲	16.618786,132.664691318233
2005年のシングル	15.844397,132.23495056078215
ビクターエンタテインメントのアルバム	16.403997,134.02393642485563
テレビ朝日の主題歌	15.461062,133.07277168583093
2000年のシングル	15.461062,133.75756068829767
かつて存在した東京都の企業	16.224157,137.34742190001978
シャ乱Qのベスト・アルバム	16.403997,138.61400897049992
神戸大学出身の人物	15.5453,138.72952092851773
千葉大学出身の人物	15.5453,139.4363230621602
フジテレビの主題歌	15.844397,140.77224480355278
学習院大学出身の人物	15.5453,141.10884544804944
コネチカット州の企業	16.74134,144.39987829362127
ドラゴンクエストの音楽	15.776752,143.35983400717473
三洋電機	16.363626,145.74813267379562
有川浩	15.461062,144.67242265734896
ユニコーンのベスト・アルバム	16.176851,146.88254298658242
コンピュータゲームのサウンドトラック	15.776752,146.84371820053846
ユニバーサルミュージックジャパンのアルバム	16.403997,148.80648168842188
バンクーバーで製作された映画作品	16.034893,148.81251831841502
吸血鬼を題材とした映画作品	16.2044,150.7320394565632
テレビ東京のテレビドラマ主題歌	16.618786,154.2378491818355
日本電気	16.661303,155.2906202397895
読売新聞グループの人物	16.911987,158.2291380040361
ニューヨーク市を舞台とした映画作品	16.034893,158.2197802889776
アメリカ合衆国の推理作家	16.060322,159.56367814613836
テレビ北海道の番組	15.706422,160.34962135329462
アメリカ合衆国のロマンティック・コメディ映画	15.5959,160.9345391914795
日本のパンク・ロック・バンド	16.074678,164.7029080669056
H.m.p女優	15.461062,165.05193258819733
アリスJAPAN女優	15.461062,165.86602199339472
KUKI女優	15.461062,166.6801113985921
マックス・エー女優	15.461062,167.49420080378954
プログレッシブ・メタル・バンド	16.034893,169.99233831845396
ソニー・ミュージックレコーズのアーティスト	16.60138,172.50851494751882
日本のインディー・ロック・バンド	16.911987,174.42350427205258
ソニーの人物	16.498035,174.42027497117428
ビクターインビテーションのアルバム	15.89996,174.11043333358117
ハンソンの交響曲	15.461062,174.7376613769028
かつて存在した大阪府の企業	16.363626,177.8184852799592
日本の信販会社	16.363626,180.09868482690007
キューンミュージックのアルバム	15.848698,180.19380222063836
中京区の企業	17.705261,185.02317937106267
エスエムイーレコーズのシングル	15.89996,182.51000349101935
TRIADのシングル	15.461062,182.55639222009654
日本コロムビアの楽曲	18.341164,191.4909109238508
フォーレの室内楽曲	16.618786,189.10063777870647
フジテレビ月曜9時枠の連続ドラマの主題歌	15.844397,188.58178539190504
大府市	16.403997,191.2037081711272
CBSソニーのアルバム	16.911987,198.76801190134933
グラウビュンデン州の基礎自治体	16.681915,199.42306531422753
ショスタコーヴィチの弦楽四重奏曲	16.788849,201.24925668126122
ヴュルテンベルク＝ヴァイルティンゲン家	15.673334,203.01140045705114
## IMINE2-J-018	エリザベス
クイーンエリザベス諸島	282.311964,0.0
エリザベス級戦列艦	259.17370600000004,0.6657703296963909
存命人物	114.966276,0.004320987654320987
カナダ	310.81426,1.211842603484219
軍艦	259.530771,1.5615790520310895
テューダー朝の人物	229.743223,1.61430036539974
人名の曖昧さ回避	144.485643,1.3104923815144602
ヌナブト準州の島	225.95021999999997,2.407198647283814
イギリス海軍の同名艦	164.81429200000002,2.275406818166821
映画	172.57556900000003,2.5757209933055796
エリザベス1世	200.94335500000003,3.20932108397029
同名の地名	58.231024,1.3786320654551236
風俗	28.986599,0.9342101070808813
英語の女性名	134.82265,3.444229595610152
経済現象	28.25204,1.6027767372069899
ヨーロッパの君主の名前	88.280188,3.033066920559376
南極の地理	57.778523,2.689966345654468
性犯罪事件	28.818764,2.152529392246099
イギリスの男爵	86.220947,3.842603176337397
極地	84.54261600000001,4.073823981400836
ガーター勲章	114.93201300000001,4.983542675794574
歴史	56.734547000000006,3.858923041593182
長寿の人物	29.337471,3.1005377107305385
破門	29.103912,3.1839597972869416
イギリス史の時代区分	28.25204,3.4303218077761937
アメリカ合衆国のドラマ映画	115.68158700000001,6.873390042023285
同名の船	29.991642,4.168537564755367
ペット	28.850128,4.232285586619487
女性君主	58.030335,5.607136399269787
イギリス王室を題材とした作品	86.396167,7.219332806431214
君主制	28.502296,5.143168171737009
イギリスの政治家	57.134792,6.836758776330142
犯罪・事件	28.818764,5.777118622328707
刑死した人物	28.593273,5.929785982840229
16世紀のヨーロッパ史	28.25204,6.176040642660414
ノースウエスト準州の島	85.04586,9.397678660812643
17世紀のヨーロッパ史	28.25204,6.672382096531539
大勲位菊花章頸飾受章者	28.899508,6.930761778070157
イギリス連邦の君主号	57.004592,8.978186277836672
1900年生	29.337471,7.628401439128744
イギリス王室	57.40642,9.679969927944008
人物	29.052944,7.917038892374977
イギリスのドラマ映画	86.003669,12.003109104303311
各国の島の一覧	28.7986,8.467351455161698
文学	29.176725,8.667342530738432
1915年竣工船	29.26469,8.783903713008563
イギリスの歴史映画	86.276461,13.476778346276065
アメリカの君主	28.502296,9.289244737412988
君主国	28.263792,9.481093292606218
1940年竣工船	29.112719,9.772159019846713
政治家	28.506912,9.905361892582988
イギリスの文化	28.25204,10.083802357674626
ジェンダー	28.986599,10.440858237710605
1533年生	57.612916999999996,13.373580701145665
イギリスの伝記映画	86.396167,16.57673568932725
カトリック教会に破門された人物	29.130827,11.215520390343416
英国人名事典	28.492619,11.336365466086711
南アフリカ共和国の都市	29.112719,11.581241402185249
カナダドル紙幣の人物	28.899508,11.795193309192683
薔薇戦争の人物	58.560255,15.381690720025524
オセアニアの君主	28.502296,12.326988859498034
良質な記事	29.130827,12.484980840576972
ワーキング・タイトル・フィルムズの作品	58.033827,16.160775944080708
1570年	29.103912,12.999437741733136
イギリス・ポンド紙幣の人物	28.899508,13.22726632906375
アカデミー賞受賞作	58.033827,17.230579869518074
確認・注意事項があるページ	28.798155,13.681887990782734
イギリスの庶民院議員	57.134792,17.565886403785523
2002年没	29.337471,14.322499011542273
イギリスの貴族	28.483362,14.438597262254252
空港	28.506912,14.62988299600661
1983年没	29.326494,14.931020791009729
1722年没	29.174568,15.176549071988042
鉄道駅	28.77464,15.376886059889738
児童性的虐待	28.818764,15.486283119455283
1792年没	28.875511,15.76201086583204
アメリカ合衆国の誘拐事件	28.818764,15.991906802476953
叙事詩的映画	58.033827,20.863532391797357
1982年没	28.866179,16.623178491812908
1780年没	28.593273,16.868706772791224
1787年没	28.492619,17.114235053769537
漫画	28.798155,17.380407772215875
イギリスの伯爵	28.48209,17.506945839339124
1795年没	28.3376,17.711132882031496
アフリカの港町	29.112719,18.145719611265953
暫定的な記事名を使用しているページ	28.502296,18.150703944633403
異性装	28.986599,18.403522500979133
1906年生	29.326494,18.74733520721753
1926年生	28.899508,19.001371036686887
イギリスの慈善家	28.899508,19.284756221135677
LGBT	28.986599,19.42168506857668
1840年没	28.9184,19.676435231970853
1935年生	28.506912,19.858848757048886
2010年生	28.506912,20.11288458651825
曖昧さ回避の必要なリンクのあるページ	28.453106,20.229101762093716
オーストラリアの紙幣の人物	28.899508,20.553910883414243
1830年没	28.717636,20.743990401203153
キュナード・ラインの客船	58.484105,27.328114149348362
テューダー朝を舞台とした映画作品	86.276461,33.847544967537715
1879年没	28.492619,21.73041775600629
1856年没	28.483362,21.984432510085664
競馬	28.239582,22.157164185440248
テューダー朝	57.355952,29.031343202751696
2009年の映画	29.253298,22.938818155924572
大陸会議代表	56.930873,29.781969323551532
ハノーヴァー家	57.401762,30.475940636717702
1770年生	28.9184,23.93940981714865
秘密警察	28.681686,24.142150150368597
1754年生	28.875511,24.42905629709853
1885年生	28.866179,24.797376597818033
1768年生	28.717636,25.057166290095743
1709年生	28.593273,25.31695598237346
1758年生	28.492619,25.576745674651168
南アフリカ	29.112719,25.911574257410336
1785年生	28.492619,25.986575588600083
1801年生	28.483362,26.2463652808778
1727年生	28.3376,26.50615497315551
カナダ関連一覧	28.7986,27.08239701228797
冠	28.502296,27.26270904901758
結核で死亡した人物	28.875511,27.69516529070068
アメリカ合衆国の大統領夫人	57.583815,36.855496038439554
イギリスの王族	28.9184,28.89476268968214
東京都出身の人物	29.052944,29.539121894210833
2010年竣工船	29.371386,29.922829318465322
カナダの政治	28.502296,30.046630270345958
2011年の映画	29.449574,30.818912071883965
2007年の映画	29.40641,31.124558293920945
イギリス	28.263792,31.164070962813827
クルーズ/ワグナー・プロダクションズの作品	28.180115,31.32669220643631
1984年の映画	28.932934,31.86721009661717
2013年の映画	28.920643,32.26398364038664
1959年の映画	28.7986,32.56962986242363
1997年の映画	28.720686,32.87527608446061
イングランドの王妃	58.560255,43.5305806813288
1998年の映画	28.627417,33.66758396562367
1999年の映画	28.45475,33.97323018766065
2006年の映画	28.36234,34.27887640969762
アルバム	28.213057,34.52118023921331
1937年の映画	28.242634,34.733789565619226
2005年の映画	28.180115,35.03943578765619
金羊毛騎士団員	28.899508,35.65087329609559
パラマウント映画の作品	56.634865000000005,46.38842890972089
ボヘミアの王妃	28.508003,36.17008937395881
2002年のアメリカ合衆国	28.818764,36.60239538847843
クラシック音楽	28.492619,36.78588083845494
連合王国の王妃	29.337471,37.43788215268493
三十年戦争の人物	28.508003,37.487251634272035
グレナダの政治家	28.506912,37.932422894141
新田泰佑の作成した未検証の記事	28.798155,38.32261704249104
イギリスの枢密顧問官	57.134792,50.033365520538226
アイルランド系イギリス人	28.483362,39.26165620815819
チェコ語の姓	28.36316,39.776031899009894
大チャクリー勲章受章者	28.899508,40.44239317251915
オランダ系アメリカ人	28.717636,40.72982419255151
ニュージーランド王国	28.502296,41.25716365071996
イタリア語の女性名	28.545368,41.78424234639636
ゴールデングローブ賞受賞作	28.627417,42.203321202338586
ボーズ＝ライアン家	29.337471,42.9891055653282
近現代の作曲家	29.326494,43.55102219272934
アメリカ合衆国の弁護士	28.3376,43.53690062237425
家族を題材とした映画作品	29.253298,44.33912040119749
ハワード家	28.730885,44.4116997613506
ブーリン家	28.730885,44.799856326660766
ダドリー家	28.48209,45.188012891970935
セシル家	28.453106,45.5761694572811
オランダ共和国の人物	28.508003,46.149104097520286
イギリスのスパイ	28.681686,46.987141148179546
1492年没	29.29694,47.743116458163016
1503年没	29.263315,48.10221213288321
1603年没	29.130827,48.4613078076034
軍隊映画	28.45475,48.443914757435095
1538年没	28.730885,49.12929567309388
シェーカル・カプールの監督映画	58.033827,64.09212280299998
1590年没	28.681686,49.93777598043673
1549年没	28.593273,50.29687165515693
1662年没	28.508003,50.65596732987711
1588年没	28.48209,51.015063004597295
ケンブリッジ大学出身の人物	57.134792,66.26921678377315
1598年没	28.453106,51.81557237183283
1601年没	28.241928,52.17466804655301
1437年生	29.29694,53.18308101405866
イギリスの作曲家	29.326494,53.56126913884421
1466年生	29.263315,53.881607526269384
教皇勅書	29.103912,54.170155388944956
1667年生	29.174568,54.61186095115452
シティ・オブ・ウェストミンスター出身の人物	58.162823,71.061394622312
北極海の諸島	28.684116,55.30604867854019
1532年生	28.681686,55.78756524016358
1508年生	28.593273,56.156999604178935
1596年生	28.508003,56.52643396819427
1520年生	28.453106,56.895868332209616
1566年生	28.241928,57.26530269622497
大英帝国勲章	29.326494,58.3258486476814
連合王国の君主	28.899508,59.205934816785316
ボナパルト家	28.492619,59.65892277334204
イギリス領南極地域	28.986599,60.42437488108961
2005年のテレビドラマ	28.180115,61.48002250083215
健忘を題材とした映画作品	28.920643,62.37845745628234
教皇権の歴史	29.103912,63.260498585271826
エセックス伯	28.241928,63.55221507717888
チェコ語の女性名	28.36316,64.17927883734677
1930年のテニス	28.441208,64.70122921997029
王立音楽大学出身の人物	29.326494,66.02006116292507
イギリスのテレビドラマ	28.180115,65.94021657144877
フォックス・サーチライト・ピクチャーズの作品	58.370217,86.0698671502699
パーシー家	29.174568,68.74402732948775
イギリスの航空母艦	29.019981,69.15530697619684
南アフリカ共和国の空港	28.506912,69.44025506107944
ステュアート家	28.508003,69.99046375250252
シーモア家	28.593273,70.58577696065137
イギリスの児童文学	29.176725,71.5568721900913
アメリカ合衆国のロマンティック・コメディ映画	57.113049000000004,90.83226740720976
エコールノルマル音楽院出身の人物	29.326494,73.08446130029328
カナダの島	28.7986,73.3444271724867
英連邦王国	28.263792,73.66666191574082
イングランドの君主	29.130827,74.83791158006804
実際の出来事に基づいた映画作品	28.36234,74.87227470051562
イギリスのクルーズ客船	58.484105,96.48384733739722
日本の放送作家	29.052944,77.04553989455961
ニューヨーク市出身の人物	28.717636,77.447016582564
アイルランド総督	28.241928,78.25601357655397
大英帝国勲章ナイト・グランド・クロス	29.337471,80.50953945770321
馬主	28.899508,80.77426998868913
テューダー家	29.130827,81.85058025350853
フランスのドラマ映画	28.720686,82.11695957792594
ウィンザー家	28.899508,82.89522233546572
パテの作品	28.920643,83.56313898491058
イギリスの映画音楽の作曲家	29.326494,84.96533140492988
ボルチモア出身の人物	28.492619,85.72086892873675
ライブ・アルバム	28.213057,87.76403893959626
2006年のアルバム	28.213057,88.51564680086928
キャメロットのアルバム	28.213057,89.4287611289535
ロンドンを舞台とした映画作品	28.36234,90.23276113721631
ユタ州の歴史	28.818764,91.49146712098408
ワーナー・ブラザーズの作品	28.7986,92.35410978076662
アメリカ合衆国のミステリ映画	28.45475,92.756354565056
クイーン・エリザベス級戦艦	29.26469,94.08059437900413
パナマックスのクルーズ客船	29.371386,95.27130776024391
ミズーリ州の人物	28.866179,96.15394431947811
テューダー朝を舞台とした作品	28.180115,96.52720585145542
ハリウッド・ピクチャーズの作品	28.720686,97.73052887385442
ミラマックスの作品	28.720686,98.34564863415322
ウィンブルドン選手権	28.441208,99.79318548870238
イギリスのスリラー映画	28.920643,101.31965359031229
イングランドの宗教改革	29.130827,102.12719348086827
在フランスイギリス大使	28.681686,102.66794443800626
別冊花とゆめ	28.798155,104.10991060387795
小説を原作とする映画	28.45475,104.59216231793184
アメリカ合衆国のサイコスリラー映画	29.449574,106.45495493742567
ダニー・ボイルの監督映画	28.920643,106.89528880271276
ケンブリッジ大学の教員	28.453106,107.33566287282979
サイモン・ウェストの監督映画	28.45475,108.209714279667
スティーヴン・フリアーズの監督映画	28.36234,108.87174923209064
アメリカ合衆国の西部劇映画	28.7986,111.04838333771457
イングランドの歌手	28.492619,111.46994692261656
プファルツ選帝侯妃	28.508003,112.47808704288632
エイベックス・グループ	28.36234,114.01390912124238
記憶鮮明シリーズ	28.798155,115.84848942425042
アメリカ合衆国のサスペンス映画	28.45475,116.82076655797712
スコットランドを舞台とした映画作品	28.36234,117.51039694725921
ニュージャージー州の政治家	28.3376,118.22014120012882
ペンシルベニア州の鉄道駅	28.77464,120.08285375068098
グリニッジ・ロンドン特別区出身の人物	29.130827,121.26811177747108
ブロムリー・ロンドン特別区出身の人物	28.681686,121.99920545358043
ヨーク家	29.263315,123.27877250475355
ケンタッキー州の都市	29.237354,124.24395269463272
バース出身の人物	28.492619,125.81819340007043
ニューヨーク市を舞台とした映画作品	28.932934,129.39681837738414
中央競馬の競走	28.239582,130.19940963358096
ニュージャージー州の都市	29.120487,132.08592632013267
ヘレフォードシャー出身の人物	28.241928,132.12768327099505
イギリスのソプラノ歌手	28.875511,136.5608457418009
ケンタッキー州の郡	28.33046,139.02756035490094
ニューヨーク州を舞台とした映画作品	29.449574,141.08777043715457
東ケープ州	29.112719,142.53714138531143
ジョージア州を舞台とした映画作品	28.45475,142.84616639243487
ケンタッキー州を舞台とした映画作品	28.180115,143.72316931466472
京都競馬場の競走	28.239582,144.71164044394078
サウス・ケスティヴァン出身の人物	28.453106,145.7812987789099
ファイフ出身の人物	28.508003,146.89836711273517
ニュージャージー州下院議員	28.593273,150.24509096047473
## IMINE2-J-019	ヨセミテ
ヨセミテ国立公園	462.03956900000003,
存命人物	262.95539699999995,0.006374421296296296
アメリカ合衆国	212.07482100000001,0.19981443079735187
カリフォルニア州の地理	179.57631700000002,0.9082296580959577
IUCNカテゴリーIb	58.321692,0.5046948682020176
登山用品	48.622417999999996,0.6372158460576489
地形	53.604287,0.8695413956384608
岩石	28.452768,0.825443428964673
ワーナー・ブラザーズの作品	146.035339,2.274928487553341
月	27.969433,1.2152969726254477
同名の地名	26.394226,1.2855969362469146
ルーニー・テューンズの短編作品	146.035339,3.377119374606651
スポーツ関係者	105.087125,2.8329953471631635
野外活動	32.80455,1.8196529099910939
アニメ	100.885883,3.540267603683342
地形学	28.452768,2.039506910416765
アメリカ合衆国の滝	66.029259,3.1956460441142784
アニー賞受賞者	49.133637,3.019435670621984
山岳	83.772682,4.02824085995057
アメリカ合衆国の国立公園	81.130619,4.32149861124533
ヨーロッパの年中行事	19.525116,2.6777947286765658
大気光学現象	27.969433,3.1256997647542177
火災の歴史	31.145542,3.408462864302974
山火事	31.145542,3.6065765351741885
1945年没	49.974976,4.534311786178272
声優	75.750512,5.793477883814319
カリフォルニア州の郡	130.10630500000002,8.370125377465422
美術家	74.081721,6.327679212790101
東京都出身の人物	61.754380999999995,6.053379078618356
エミー賞受賞者	48.622417999999996,5.654182306299203
アメリカ合衆国の男性声優	75.750512,7.4710760623343555
地形	53.604287,6.4276314508733465
谷	30.660967,5.2418383360080005
人物	46.537,6.506723136921092
日本のフリークライマー	103.251232,10.130867419282358
アメリカ合衆国の世界遺産	62.29068,8.073849021149275
日本の登山家	81.450368,9.810521593330037
著名な木	31.97948,6.812651241998077
アメリカ合衆国の歴史的な場所	33.724514,7.042691047975768
スポーツ競技	23.559198,6.413428124245575
山	24.099052,6.614257001025697
気象学・気候学	27.969433,7.10269495319619
石碑	28.452768,7.38663693238617
参照方法	54.757690999999994,9.764553020282186
切断障害を持つ人物	30.559652,7.785811643195007
滝	22.94332,7.34524267136503
地球生成に関する世界遺産	33.627785,8.6224450311329
キリスト教の祈り	19.767433,7.571349432004282
アメリカ合衆国の造園家	49.387814,10.62111719394491
軍事	28.596281,8.838404860391105
1984年登録の世界遺産	33.627785,9.593219405015748
2013年の災害	31.145542,9.577333667013367
北米の自然美に関する世界遺産	33.627785,10.081616061108804
1914年没	31.25314,10.163182960301759
エベレスト登頂者	22.437948,9.409876619606518
1890年竣工船	27.128094,10.184779595421794
1969年生	31.194729,10.93374717596914
キリスト教	39.292549,12.115281150586956
1965年生	30.559652,11.33897801565958
空港	33.795063,12.029447012769277
アメリカ合衆国の実業家	24.099052,10.937712006459174
1838年生	31.25314,12.097790288711542
1961年生	30.063784,12.20553745457217
カメラ	24.099052,11.565658381368744
児童性的虐待	27.454212,12.299117389787929
2月の記念日	19.525116,11.448546249041923
アメリカ合衆国の誘拐事件	27.454212,12.843237100794576
鉄道	24.358704,12.516557087598056
1977年生	28.452768,13.341156458658023
エクストリームスポーツ	23.559198,12.80408047680193
デトロイト出身の人物	52.069327,17.53431869941515
良質な記事	33.627785,14.940020943562603
1989年没	27.128094,13.999085804661052
歩道	32.80455,15.273282158352838
1908年生	27.128094,14.665194465781802
1861年生	27.969433,15.103493455399871
ロックフェラー家	24.099052,14.757954676027046
キリスト教圏の年中行事	19.525116,14.122766571089066
1949年生	26.616875,15.673461852609181
1986年生	26.616875,15.927497682078537
河川	27.969433,16.5065634490018
1984年没	24.693907,16.09338417304297
1902年没	24.693907,16.338912454021287
ハリウッド・ウォーク・オブ・フェーム	49.133637,21.509352714901954
映画	28.662895,17.485303245450385
1957年没	24.693907,17.009846873506426
レジオンドヌール勲章受章者	24.099052,17.11038090281464
サンフランシスコ出身の人物	51.822001,23.342752330531745
2009年没	24.693907,17.894947018539472
2013年のアメリカ合衆国	31.145542,19.649764292266397
1993年没	24.099052,18.420612311276937
動物	22.005543,18.142642607657084
1960年没	24.099052,18.77985183421339
1916年生	24.693907,19.279972785736238
1902年生	24.693907,19.534008615205593
アメリカ合衆国の著作家	31.25314,21.398164495766302
カリフォルニア州の歴史	58.599754,28.696898344004214
1987年生	24.099052,20.481096134949695
1901年生	24.099052,20.73513196441905
スポーツ	26.616875,21.683422452289587
1830年生	24.693907,21.326238339810665
ニューヨーク市出身の人物	49.387814,28.26891634799337
1870年生	24.693907,21.91695019411091
曖昧さ回避の必要なリンクのあるページ	28.452768,23.25950157995295
アフリカ系アメリカ人	28.596281,23.48047284898541
紀元前97年	21.83039,21.824781433501585
67年	21.83039,22.08644759170427
1874年生	24.099052,23.00683682796575
日本の銀行家	24.099052,23.268175155853616
1963年生	22.437948,23.31284223765187
写真のジャンル	24.099052,24.118477908153274
1958年生	22.005543,23.92315298729962
1952年生	22.005543,24.177188816768975
1914年の映画	26.616875,25.973712816219514
裸子植物	24.693907,25.850422650587216
1960年生	21.340576,25.072115594756035
1864年生	22.005543,25.613608318560104
メキシコを舞台とした作品	20.190277,25.438551844742804
孤立	26.616875,27.909315108759525
ルーニー・テューンズのキャラクター	44.948863,34.447815519252885
茨城県出身の人物	50.715927,37.20173375448314
カリフォルニア州の湖	66.327175,43.322385906328094
カリフォルニア州の空港	65.72703,44.08083058626546
1972年のアメリカ合衆国	27.454212,31.044185399585334
アニメのスピンオフ作品	47.326798,38.93271698223023
大統領自由勲章受章者	24.693907,31.124971610112766
ドイツ系アメリカ人	24.693907,31.561427462625428
彫刻作品	28.452768,33.37024336062373
イエス・キリスト	20.714275,30.83026667151313
ニューヨーク州の人物	54.586308,44.69348095770757
カリフォルニア州の河川	61.26914599999999,48.6238506531808
シングル	25.56559,34.39522808092097
ガンアクション	20.190277,32.735660923988114
1977年の映画	18.971577,32.678322403105504
継続中の作品	20.190277,33.458278965166976
アメリカ合衆国陸軍	28.596281,37.363594285284655
アメリカ合衆国帰化市民	24.693907,36.2921066432252
アメリカ合衆国の写真家	24.693907,37.050080532878276
ユダヤ系アメリカ人	27.128094,38.59145391620701
カリフォルニア州の都市	53.480689999999996,50.88395223973262
ルーニー・テューンズ	47.326798,49.22915741084754
東欧ユダヤ系アメリカ人	24.693907,39.511391742876874
聖書の語句	19.767433,37.75193813118137
アメリカ合衆国の列車	24.358704,41.449728819900464
アカデミー短編アニメ賞受賞作	28.662895,44.64169645412658
山梨県	26.616875,44.13914723209572
カナダの声優	22.005543,42.14160552040063
フランス系カナダ人	22.005543,42.659939775118666
長野県	26.616875,45.1187252999453
1996年のアニメ映画	30.37143,47.624803371493634
架空の地球外生命体の個体	22.94332,44.402212694161754
いたずら・ぶっく	21.761208,44.42249833472461
1958年のアニメ映画	28.662895,48.34709550275994
アメリカ合衆国の氷河	28.763409,48.96606283594452
鈴木大輔が制作した楽曲	25.56559,47.81518308457502
1995年のアニメ映画	28.662895,50.3712416491453
1949年のアニメ映画	29.675224,51.43884507876304
クラスCの空港	33.795063,54.45737623172668
アメリカ合衆国の画家	24.693907,50.29967478033431
1955年のアニメ映画	28.662895,52.97009220674771
チャーリー・チャップリンの監督映画	26.616875,52.874271125331326
カリフォルニア州の国勢調査指定地域	51.706728999999996,67.56083205679879
2000年代のアメリカ合衆国のテレビアニメ	25.56559,53.88805528462184
アメリカ合衆国のサイレント映画	26.616875,55.349008801040476
トロント出身の人物	22.005543,53.31389656484201
アメリカ合衆国の登山家	30.063784,58.488743485800946
聖歌	19.767433,53.22201488370688
ゾーリンゲン出身の人物	24.693907,56.5594909780102
アメリカ合衆国の小説家	22.005543,55.929905625794966
カトリック教会の祭日・斎日・記念日	19.525116,55.419881221354586
ドイツの画家	24.693907,58.97399386784991
聖公会の祝日・斎日・記念日	19.525116,56.37450357035217
1995年のテレビアニメ	25.56559,60.53401491844336
山梨県出身の人物	28.452768,62.92912470206352
アメリカ合衆国の短編映画	26.616875,62.77285107554552
1990年代のアメリカ合衆国のテレビアニメ	21.761208,60.35540255112216
スタートレックの宇宙船	24.693907,63.06245860202576
ネパールの山	26.616875,64.94984318598635
アメリカ合衆国のコメディ映画	26.616875,65.77485267846895
1988年のアルバム	22.005543,63.45891411588982
アメリカ合衆国の防護巡洋艦	27.128094,67.33991229795298
陰謀論を題材とした映画作品	18.971577,62.74374954115793
カリフォルニア州の国家歴史登録財	33.724514,73.22184784532232
ギャグアニメ	21.761208,66.15000748830379
1991年のテレビアニメ	21.761208,66.91434422686224
プロテスタントの祭日・記念日	19.525116,66.28585841118736
京都府出身の人物	24.099052,70.0206638248271
マツ属	51.822001,89.36608550031713
大阪府出身の人物	22.437948,71.30717507241593
横浜市出身の人物	21.340576,71.14149370458874
デイヴィッド・リー・ロスのアルバム	22.005543,72.54712143070766
ヒキガエル科	22.005543,73.88516590365984
2009年のシングル	25.56559,77.0369158518418
ワーナー・ブラザーズ・レコードのアルバム	22.005543,76.060448858828
ネバダ州の人物	22.005543,77.004919125298
ドイツ語由来の外来語	22.005543,77.86288474326072
SFアニメ	25.56559,81.5512585435696
